team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
북경수강,10,002,199902,01,Ma Lihua,F,40:00,1-8,3-9,5-5,2,7,9,2,3,0,5,0,16
북경수강,10,002,199902,01,Xie Fei,C,40:00,2-6,1-3,2-2,1,6,7,2,3,1,4,0,9
북경수강,10,002,199902,01,Tian Dan,C,35:30,6-9,0-0,6-8,4,4,8,2,3,1,5,0,18
북경수강,10,002,199902,01,Hou Gailin,F,26:42,4-7,0-0,2-2,2,4,6,0,5,0,2,0,10
북경수강,10,002,199902,01,liang xin,G,22:04,4-8,0-0,0-0,1,5,6,1,5,0,2,1,8
북경수강,10,002,199902,01,Zhang Lin,C,19:44,2-4,0-0,0-0,0,2,2,0,5,0,1,0,4
북경수강,10,002,199902,01,Zhang Naif,G,14:53,3-4,0-0,0-0,1,1,2,0,5,0,0,0,6
북경수강,10,002,199902,01,Zhang Fan,C,00:42,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
북경수강,10,002,199902,01,Zhao Jie,G,00:25,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0
북경수강,10,002,199902,01,팀합계,팀합계,200:00,22-46,4-12,15-17,11,29,40,7,30,2,19,1,71
