team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
대만올스타,28,003,199908,01,FU TZU-LIN,G,37:42,7-10,2-8,5-10,1,2,3,2,3,0,1,2,25
대만올스타,28,003,199908,01,CHANG HUI,G,35:11,3-5,0-1,1-2,2,3,5,4,5,1,3,0,7
대만올스타,28,003,199908,01,MAI YAHUI,G,31:32,4-7,0-0,2-2,1,5,6,4,1,0,2,0,10
대만올스타,28,003,199908,01,TSAI PEI-Y,F,23:11,6-11,2-3,1-1,1,1,2,3,5,2,3,0,19
대만올스타,28,003,199908,01,HUANG XIAO,G,20:53,2-7,0-1,7-8,2,5,7,2,5,1,2,0,11
대만올스타,28,003,199908,01,YANG SHU-Y,G,17:57,1-4,2-5,0-0,1,1,2,1,2,1,1,0,8
대만올스타,28,003,199908,01,LOU SHIH-E,G,16:53,0-1,0-1,0-0,0,3,3,0,2,0,0,1,0
대만올스타,28,003,199908,01,LIN JUI-MI,G,12:17,1-3,0-0,0-0,1,0,1,0,0,0,3,0,2
대만올스타,28,003,199908,01,TANG SU-TU,G,03:07,0-2,0-1,0-0,2,0,2,0,1,0,0,0,0
대만올스타,28,003,199908,01,LIN HUI-ME,G,01:17,1-1,0-0,0-0,0,1,1,0,1,0,1,0,2
대만올스타,28,003,199908,01,팀합계,팀합계,200:00,25-51,6-20,16-23,11,21,32,16,25,5,16,3,84
