team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
JOMO,34,003,199908,01,YANO YUUKO,G,35:13,7-12,3-5,0-0,1,1,2,3,3,0,1,1,23
JOMO,34,003,199908,01,HAMAHUCHI,C,34:55,9-14,0-0,4-8,5,5,10,1,3,0,4,2,22
JOMO,34,003,199908,01,OHYAMA,G,34:45,3-9,0-3,1-4,4,10,14,3,2,2,1,1,7
JOMO,34,003,199908,01,KAWABATA,F,30:10,3-10,0-0,1-1,2,5,7,1,1,0,2,2,7
JOMO,34,003,199908,01,RYOKO,F,24:19,3-5,0-2,2-2,0,1,1,1,3,0,2,2,8
JOMO,34,003,199908,01,SAKURABA,G,21:30,1-1,2-3,0-0,0,3,3,7,1,2,0,0,8
JOMO,34,003,199908,01,MASAMI,G,07:29,0-0,0-0,1-2,0,1,1,0,0,0,3,0,1
JOMO,34,003,199908,01,TANABE,C,06:52,1-1,0-0,0-0,1,2,3,1,0,1,0,0,2
JOMO,34,003,199908,01,IKEDA,G,04:47,1-2,0-0,0-0,0,0,0,0,1,0,0,0,2
JOMO,34,003,199908,01,팀합계,팀합계,200:00,28-54,5-13,9-17,13,28,41,17,14,5,13,8,80
