team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
중국요녕,3,003,199907,01,JIANG XU,G,33:07,5-11,6-6,0-0,1,5,6,4,4,1,7,0,28
중국요녕,3,003,199907,01,WANG YING,G,31:51,3-7,0-0,1-4,2,5,7,2,3,1,2,0,7
중국요녕,3,003,199907,01,ZHANG DAN,F,31:20,10-14,0-0,2-3,6,6,12,3,4,1,1,0,22
중국요녕,3,003,199907,01,CAENG JI,F,23:53,2-5,1-1,0-2,3,2,5,1,1,0,4,0,7
중국요녕,3,003,199907,01,LI JIAN,F,23:10,2-2,0-0,1-2,0,1,1,0,5,0,0,0,5
중국요녕,3,003,199907,01,WANG LING,F,21:51,6-9,0-0,0-1,1,2,3,2,0,0,1,0,12
중국요녕,3,003,199907,01,LIU YUE XI,C,18:09,2-4,0-0,2-2,0,3,3,2,1,0,4,0,6
중국요녕,3,003,199907,01,ZHANG YING,F,10:00,1-3,0-0,0-0,1,0,1,1,1,0,1,0,2
중국요녕,3,003,199907,01,JIA GUANG,G,06:39,0-0,0-0,0-0,0,0,0,0,2,0,0,0,0
중국요녕,3,003,199907,01,팀합계,팀합계,200:00,31-55,7-7,6-14,14,24,38,15,21,3,23,0,89
