team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
금호생명,25,006,200006,01,임순정,F,35:54,3-8,0-0,1-2,0,8,8,3,3,3,4,1,7
금호생명,25,006,200006,01,천난,,35:26,8-15,0-0,8-8,7,7,14,1,3,2,3,2,24
금호생명,25,006,200006,01,신원화,,31:10,4-8,0-1,0-0,1,4,5,6,5,1,4,0,8
금호생명,25,006,200006,01,이은아,,28:56,1-1,3-8,5-5,1,0,1,2,0,2,1,0,16
금호생명,25,006,200006,01,강주림,F,23:22,1-1,0-1,0-0,0,1,1,0,4,1,1,1,2
금호생명,25,006,200006,01,지앙쉬,,16:54,2-4,0-2,0-2,0,0,0,2,4,1,5,0,4
금호생명,25,006,200006,01,강윤미,F,13:23,0-1,0-0,0-0,0,3,3,0,3,0,0,0,0
금호생명,25,006,200006,01,관수핑,,11:54,1-1,0-0,0-0,0,1,1,0,2,0,2,0,2
금호생명,25,006,200006,01,오수진,F,03:01,0-0,0-0,0-2,1,1,2,0,1,0,0,0,0
금호생명,25,006,200006,01,팀합계,팀합계,200:00,20-39,3-12,14-19,10,25,35,14,25,10,20,4,63
