team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
현대,10,007,200101,01,김영옥,G,30:00,6-6,3-11,0-0,1,1,2,4,2,1,0,0,21
현대,10,007,200101,01,권은정,F,24:51,2-5,2-5,0-0,1,2,3,2,2,1,1,0,10
현대,10,007,200101,01,전주원,A,21:36,5-6,0-1,8-9,0,6,6,6,0,1,1,1,18
현대,10,007,200101,01,송리웨이,,19:53,5-8,0-1,0-0,3,4,7,1,1,0,2,0,10
현대,10,007,200101,01,옥은희,G,17:12,1-1,0-0,0-0,3,5,8,0,1,0,1,0,2
현대,10,007,200101,01,황쉬에친,,16:36,2-7,0-0,0-0,0,4,4,0,3,1,0,1,4
현대,10,007,200101,01,정윤숙,G,16:19,1-2,0-0,0-0,1,4,5,2,1,0,0,0,2
현대,10,007,200101,01,박명애,F,15:09,3-3,0-3,0-0,1,3,4,1,1,0,1,0,6
현대,10,007,200101,01,강민정,F,11:38,3-5,0-1,1-1,0,1,1,1,1,0,1,0,7
현대,10,007,200101,01,김은혜,F,10:00,3-3,0-0,0-0,0,0,0,0,0,1,1,0,6
현대,10,007,200101,01,진신혜,C,10:00,1-2,0-1,0-0,0,1,1,0,1,0,1,0,2
현대,10,007,200101,01,권혜미,G,06:46,0-2,0-0,0-0,0,1,1,1,0,0,0,0,0
현대,10,007,200101,01,팀합계,팀합계,200:00,32-50,5-23,9-10,10,32,42,18,13,5,9,2,88
