team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
Chanson,2,020,200605,08,IKEZUMI,G,38:32,2-9,2-7,4-6,4,5,9,6,2,0,1,0,14
Chanson,2,020,200605,08,MORIMOTO,F,34:35,3-10,1-1,2-2,1,9,10,4,1,1,2,0,11
Chanson,2,020,200605,08,FUJIU,G,27:45,4-8,0-0,3-4,0,2,2,4,2,1,3,0,11
Chanson,2,020,200605,08,TSUKANO,F,26:15,1-4,1-1,2-2,2,5,7,0,2,0,0,0,7
Chanson,2,020,200605,08,KAWAI,G,24:56,1-2,2-5,2-2,0,0,0,2,4,2,2,0,10
Chanson,2,020,200605,08,AIZAWA,G,18:18,2-6,1-2,0-0,1,1,2,2,1,2,3,0,7
Chanson,2,020,200605,08,NAKAGAWA,F,13:48,2-8,1-2,0-0,1,3,4,2,2,1,1,0,7
Chanson,2,020,200605,08,ISHIKAWA,F,11:10,1-1,0-1,0-0,1,1,2,1,1,2,2,0,2
Chanson,2,020,200605,08,FUJIYOSHI,G,02:48,0-1,0-0,1-2,0,0,0,1,0,0,0,0,1
Chanson,2,020,200605,08,TAKADA,C,01:53,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0
Chanson,2,020,200605,08,팀합계,팀합계,200:00,16-49,8-19,14-18,10,27,37,22,15,9,14,0,70
