team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
사랑팀,1,025,200801,10,정선민,F,28:30,7-13,0-1,0-0,1,3,4,8,1,2,2,0,14
사랑팀,1,025,200801,10,김은혜,F,26:32,2-2,4-9,0-0,3,5,8,4,0,0,3,1,16
사랑팀,1,025,200801,10,신정자,F,26:17,6-8,0-1,1-2,3,8,11,3,0,0,0,1,13
사랑팀,1,025,200801,10,강아정,F,19:32,0-4,7-12,0-0,6,3,9,0,1,0,0,0,21
사랑팀,1,025,200801,10,이미선,G,18:30,1-1,1-3,0-0,1,0,1,5,0,0,1,0,5
사랑팀,1,025,200801,10,전주원,G,15:41,0-0,0-0,0-0,0,3,3,3,1,0,1,0,0
사랑팀,1,025,200801,10,이언주,G,15:00,0-0,0-2,0-0,0,2,2,1,0,0,1,0,0
사랑팀,1,025,200801,10,정은순,C,13:43,6-8,0-1,0-1,0,2,2,0,0,0,0,0,12
사랑팀,1,025,200801,10,김지윤,G,12:49,3-3,0-0,0-2,0,2,2,4,0,0,0,0,6
사랑팀,1,025,200801,10,권은정,F,07:21,1-2,0-3,0-0,0,1,1,0,1,0,0,0,2
사랑팀,1,025,200801,10,유영주,F,06:35,3-5,0-1,0-0,2,0,2,1,0,0,1,0,6
사랑팀,1,025,200801,10,신혜인,F,06:30,0-0,0-3,0-0,1,1,2,1,0,0,0,0,0
사랑팀,1,025,200801,10,윤나리,F,01:30,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0
사랑팀,1,025,200801,10,이유진,C,01:30,1-1,0-0,0-0,0,0,0,0,0,1,0,0,2
사랑팀,1,025,200801,10,팀합계,팀합계,200:00,30-47,12-37,1-5,17,30,47,30,4,3,9,2,97
