team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
희망팀,1,025,200801,10,진미정,F,18:19,0-0,1-2,0-0,1,2,3,0,0,1,1,0,3
희망팀,1,025,200801,10,천은숙,F,17:56,5-9,0-2,0-0,0,2,2,3,1,0,0,0,10
희망팀,1,025,200801,10,김계령,C,17:04,2-3,4-9,0-0,2,1,3,1,0,0,0,0,16
희망팀,1,025,200801,10,박정은,F,17:04,0-0,1-5,0-0,0,1,1,2,0,0,0,0,3
희망팀,1,025,200801,10,이종애,C,17:04,4-5,0-1,0-0,4,2,6,1,1,1,0,0,8
희망팀,1,025,200801,10,이은영,F,16:16,1-1,4-8,0-0,0,3,3,4,1,1,0,0,14
희망팀,1,025,200801,10,김정은,F,15:58,2-2,0-2,0-0,0,1,1,1,0,1,0,2,4
희망팀,1,025,200801,10,변연하,F,15:42,2-2,5-9,0-0,0,2,2,2,0,0,1,1,19
희망팀,1,025,200801,10,최윤아,G,15:42,0-1,0-2,0-0,1,2,3,4,0,0,1,0,0
희망팀,1,025,200801,10,김영옥,G,14:41,2-5,1-4,2-2,0,0,0,3,1,2,1,0,9
희망팀,1,025,200801,10,김단비,F,09:37,2-2,0-3,0-0,1,1,2,0,0,0,0,0,4
희망팀,1,025,200801,10,배혜윤,F,09:37,3-4,0-0,1-2,2,1,3,1,0,1,0,0,7
희망팀,1,025,200801,10,이은혜,G,09:37,0-0,0-3,0-0,0,1,1,0,0,0,0,0,0
희망팀,1,025,200801,10,조혜진,F,05:23,0-0,0-0,0-0,1,2,3,0,0,0,0,0,0
희망팀,1,025,200801,10,팀합계,팀합계,200:00,23-34,16-50,3-4,12,21,33,22,4,7,4,3,97
