team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,14,027,200810,01,이종애,C,40:00,7-13,0-0,2-2,1,7,8,2,2,1,2,5,16
삼성생명,14,027,200810,01,이미선,G,34:30,9-9,0-1,1-1,2,7,9,7,2,5,1,2,19
삼성생명,14,027,200810,01,허윤정,C,32:37,6-12,0-0,1-2,2,2,4,2,3,0,0,1,13
삼성생명,14,027,200810,01,박정은,F,32:00,2-7,2-5,0-0,0,2,2,8,2,1,2,0,10
삼성생명,14,027,200810,01,박언주,F,23:18,1-1,2-2,0-0,0,3,3,0,2,0,0,0,8
삼성생명,14,027,200810,01,김채원,F,19:17,0-2,0-2,0-0,1,1,2,0,3,0,2,0,0
삼성생명,14,027,200810,01,천민혜,G,05:30,0-1,1-2,2-2,0,0,0,0,2,0,0,0,5
삼성생명,14,027,200810,01,홍보람,F,05:25,1-1,0-0,0-0,0,0,0,0,1,0,1,0,2
삼성생명,14,027,200810,01,이유진,C,03:57,0-0,0-0,0-0,0,1,1,0,2,0,0,0,0
삼성생명,14,027,200810,01,이선화,C,03:26,2-4,0-0,0-0,0,0,0,0,1,0,0,0,4
삼성생명,14,027,200810,01,팀합계,팀합계,200:00,28-50,5-12,6-7,6,23,29,19,20,7,8,8,77
