team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신세계,92,027,200901,01,김정은,F,31:10,4-11,0-2,2-6,1,2,3,1,1,0,3,0,10
신세계,92,027,200901,01,허윤자,C,26:20,3-4,3-3,0-0,0,2,2,2,4,1,1,0,15
신세계,92,027,200901,01,양선애,G,25:54,1-1,1-2,1-2,0,4,4,1,0,1,1,0,6
신세계,92,027,200901,01,박은진,F,23:09,2-4,1-4,4-4,0,2,2,2,3,0,1,0,11
신세계,92,027,200901,01,양지희,C,22:41,2-5,0-0,4-5,1,3,4,1,3,1,1,2,8
신세계,92,027,200901,01,김지윤,G,20:54,2-9,0-0,3-4,0,2,2,5,1,1,2,1,7
신세계,92,027,200901,01,배혜윤,C,16:28,0-0,0-0,4-4,3,2,5,1,5,0,1,1,4
신세계,92,027,200901,01,박세미,G,12:35,2-4,0-0,3-3,0,3,3,2,5,0,1,0,7
신세계,92,027,200901,01,진신혜,C,10:43,1-1,0-0,1-1,1,1,2,1,3,0,0,0,3
신세계,92,027,200901,01,박선영,G,06:31,0-0,0-0,0-0,1,1,2,1,2,0,2,0,0
신세계,92,027,200901,01,박하나,G,03:35,0-2,1-1,0-0,0,2,2,0,0,0,0,0,3
신세계,92,027,200901,01,팀합계,팀합계,200:00,17-41,6-12,22-29,7,24,31,17,27,4,13,4,74
