team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
여유만만,1,029,200912,10,김계령,C,33:38,8-17,1-3,4-4,2,6,8,2,2,0,0,2,23
여유만만,1,029,200912,10,김영옥,G,31:16,9-14,3-8,3-4,2,1,3,1,2,1,1,0,30
여유만만,1,029,200912,10,정선민,F,26:47,4-11,1-2,1-2,1,8,9,7,1,1,4,0,12
여유만만,1,029,200912,10,전주원,G,23:28,0-1,1-2,0-0,0,6,6,4,3,0,0,0,3
여유만만,1,029,200912,10,김지윤,G,20:34,3-5,0-0,4-5,1,4,5,4,0,0,0,0,10
여유만만,1,029,200912,10,박정은,F,20:34,0-0,3-8,0-0,1,4,5,1,0,1,0,2,9
여유만만,1,029,200912,10,이종애,C,11:44,4-5,0-0,1-2,2,0,2,0,1,1,0,0,9
여유만만,1,029,200912,10,이미선,G,10:13,1-3,0-1,0-0,0,1,1,1,0,0,2,0,2
여유만만,1,029,200912,10,양선애,G,09:11,0-0,0-3,0-0,0,3,3,0,0,0,0,0,0
여유만만,1,029,200912,10,허윤정,C,07:42,1-2,0-1,0-0,0,0,0,1,0,0,0,1,2
여유만만,1,029,200912,10,허윤자,C,04:53,0-0,0-1,0-0,0,4,4,0,0,0,0,0,0
여유만만,1,029,200912,10,팀합계,팀합계,200:00,30-58,9-29,13-17,9,37,46,21,9,4,7,5,100
