team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
질풍가도,1,029,200912,10,변연하,F,24:04,4-10,3-9,0-0,1,5,6,4,1,0,4,0,17
질풍가도,1,029,200912,10,신정자,C,23:56,4-9,0-3,0-0,0,7,7,0,3,0,1,1,8
질풍가도,1,029,200912,10,강영숙,C,22:53,3-7,0-1,0-0,2,3,5,2,1,1,0,0,6
질풍가도,1,029,200912,10,김정은,F,22:53,10-14,0-1,0-0,0,5,5,0,1,0,1,1,20
질풍가도,1,029,200912,10,최윤아,G,22:27,1-2,0-1,0-0,1,6,7,10,3,1,1,0,2
질풍가도,1,029,200912,10,정선화,C,22:03,4-7,0-1,4-4,4,4,8,0,0,0,1,2,12
질풍가도,1,029,200912,10,이경은,G,21:31,2-4,0-0,2-2,0,1,1,2,4,1,0,0,6
질풍가도,1,029,200912,10,김은혜,F,14:49,1-3,2-6,0-0,0,2,2,0,0,0,0,0,8
질풍가도,1,029,200912,10,임영희,F,13:59,1-3,1-2,0-0,0,3,3,1,0,0,0,0,5
질풍가도,1,029,200912,10,김단비,F,09:28,1-2,0-1,2-2,0,1,1,0,2,0,0,0,4
질풍가도,1,029,200912,10,김한별,G,01:57,1-1,0-0,0-0,0,1,1,1,0,0,0,0,2
질풍가도,1,029,200912,10,팀합계,팀합계,200:00,32-62,6-25,8-8,8,38,46,20,15,3,8,4,90
