team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
동부선발,1,032,201201,10,강아정,F,34:37,5-5,5-14,0-0,0,1,1,2,3,1,0,0,25
동부선발,1,032,201201,10,변연하,F,32:24,2-2,3-8,0-0,0,8,8,10,0,1,1,0,13
동부선발,1,032,201201,10,임영희,F,31:59,8-12,0-3,0-0,1,4,5,5,1,0,4,0,16
동부선발,1,032,201201,10,김한별,F,31:21,6-9,0-2,7-7,5,9,14,10,2,3,2,0,19
동부선발,1,032,201201,10,김수연,C,22:20,2-5,0-0,2-2,2,4,6,0,2,0,0,0,6
동부선발,1,032,201201,10,박정은,F,19:31,2-3,6-8,1-2,2,0,2,4,2,0,0,0,23
동부선발,1,032,201201,10,김계령,C,18:35,6-10,0-1,0-0,0,1,1,1,3,0,1,0,12
동부선발,1,032,201201,10,정선화,C,07:05,1-1,0-1,0-1,0,0,0,0,0,0,1,0,2
동부선발,1,032,201201,10,양지희,C,01:58,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
동부선발,1,032,201201,10,정선민,C,00:10,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
동부선발,1,032,201201,10,팀합계,팀합계,200:00,32-47,14-37,10-12,10,27,37,32,13,5,9,0,116
