team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
서부선발,1,032,201201,10,김정은,F,39:50,11-15,3-9,6-6,0,3,3,4,1,1,1,0,37
서부선발,1,032,201201,10,한채진,F,35:37,4-5,3-5,0-0,0,4,4,5,4,1,0,0,17
서부선발,1,032,201201,10,이연화,F,34:18,12-13,1-4,0-0,2,5,7,1,1,1,1,0,27
서부선발,1,032,201201,10,최윤아,G,33:24,5-8,1-2,2-2,1,4,5,13,1,2,1,1,15
서부선발,1,032,201201,10,신정자,C,30:00,5-13,0-1,0-0,3,7,10,9,2,1,1,1,10
서부선발,1,032,201201,10,김연주,F,10:00,0-0,1-4,0-0,1,0,1,0,1,0,0,0,3
서부선발,1,032,201201,10,김지윤,G,10:00,1-3,1-2,0-0,0,1,1,6,0,0,1,0,5
서부선발,1,032,201201,10,김단비,F,06:31,1-1,0-2,0-0,0,0,0,0,1,1,0,0,2
서부선발,1,032,201201,10,이경은,G,00:10,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
서부선발,1,032,201201,10,조은주,F,00:10,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
서부선발,1,032,201201,10,팀합계,팀합계,200:00,39-58,10-29,8-8,7,24,31,38,11,7,5,2,116
