team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신한은행,71,032,201201,01,김단비,F,40:00,1-6,5-10,6-7,4,6,10,6,3,2,1,1,23
신한은행,71,032,201201,01,강영숙,C,38:03,6-14,0-0,0-0,2,6,8,2,4,2,2,0,12
신한은행,71,032,201201,01,이연화,F,30:53,3-8,1-6,1-1,1,2,3,2,2,1,3,0,10
신한은행,71,032,201201,01,김연주,F,26:02,2-2,0-6,0-2,1,2,3,0,3,1,1,0,4
신한은행,71,032,201201,01,하은주,C,15:31,3-5,0-0,7-11,0,1,1,2,0,0,1,0,13
신한은행,71,032,201201,01,윤미지,G,14:12,0-1,0-1,0-0,0,0,0,1,1,1,2,0,0
신한은행,71,032,201201,01,김규희,G,13:33,1-3,0-0,0-0,0,1,1,1,0,1,0,0,2
신한은행,71,032,201201,01,선수민,C,11:42,0-0,0-0,0-0,3,0,3,0,1,2,1,0,0
신한은행,71,032,201201,01,최희진,F,10:04,0-1,0-1,0-0,0,0,0,0,0,2,0,0,0
신한은행,71,032,201201,01,팀합계,팀합계,200:00,16-40,6-24,14-21,11,18,29,14,14,12,11,1,64
