team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
Liaoning,2,033,201304,08,Ma Zengyu,F,35:35,3-7,3-4,2-2,1,2,3,0,2,0,2,0,17
Liaoning,2,033,201304,08,Wang Chengcheng,G,34:55,1-2,1-3,2-2,1,3,4,1,3,2,5,0,7
Liaoning,2,033,201304,08,Cheng Xiaoli,C,30:42,8-14,0-0,1-2,2,11,13,2,1,0,5,2,17
Liaoning,2,033,201304,08,Zeng Meiling,C,26:28,4-10,0-0,0-0,3,3,6,4,3,1,4,0,8
Liaoning,2,033,201304,08,Zhang Yu,F,25:31,2-5,0-3,0-0,0,2,2,2,0,1,0,0,4
Liaoning,2,033,201304,08,Cheng Feng,C,21:06,1-4,0-0,0-0,0,1,1,3,1,0,1,0,2
Liaoning,2,033,201304,08,Cui Xiaoxue,F,11:16,0-1,0-0,0-0,1,0,1,2,0,0,0,0,0
Liaoning,2,033,201304,08,Zhang Wei,G,10:59,1-2,0-1,0-0,0,0,0,1,0,0,1,0,2
Liaoning,2,033,201304,08,Jia Guang,G,01:44,0-0,0-0,0-0,0,2,2,0,1,0,0,0,0
Liaoning,2,033,201304,08,Liang Jiamei,F,01:44,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2
Liaoning,2,033,201304,08,팀합계,팀합계,200:00,21-46,4-11,5-6,8,24,32,15,11,4,18,2,59
