team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,11,034,201311,01,굿렛,C,28:59,7-11,0-0,0-0,4,6,10,1,1,1,1,2,14
우리은행,11,034,201311,01,임영희,F,28:24,4-7,0-1,2-4,0,4,4,3,2,1,1,0,10
우리은행,11,034,201311,01,양지희,C,27:24,5-11,0-0,3-6,2,7,9,1,4,1,1,0,13
우리은행,11,034,201311,01,박혜진,G,26:29,1-3,2-3,0-0,2,4,6,6,0,2,2,1,8
우리은행,11,034,201311,01,김소니아,F,20:00,3-5,0-0,1-2,1,2,3,1,3,2,0,0,7
우리은행,11,034,201311,01,이승아,G,18:43,3-4,0-2,0-0,1,2,3,4,0,2,4,0,6
우리은행,11,034,201311,01,김은경,F,13:29,0-0,0-1,0-0,0,1,1,0,3,0,1,0,0
우리은행,11,034,201311,01,이은혜,G,12:55,0-0,0-1,0-0,0,1,1,2,1,0,1,0,0
우리은행,11,034,201311,01,이선화,C,12:36,0-2,0-0,1-2,0,1,1,0,2,0,2,0,1
우리은행,11,034,201311,01,퀸,F,11:01,2-6,0-1,0-0,0,2,2,0,0,1,1,0,4
우리은행,11,034,201311,01,팀합계,팀합계,200:00,25-49,2-9,7-14,10,30,40,18,16,10,14,3,63
