team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KB스타즈,13,034,201311,01,변연하,F,34:42,1-6,0-3,1-2,0,3,3,3,0,1,0,0,3
KB스타즈,13,034,201311,01,강아정,F,31:55,2-7,3-7,3-3,1,1,2,1,2,2,4,1,16
KB스타즈,13,034,201311,01,홍아란,G,31:07,2-3,1-1,3-3,0,0,0,3,4,2,3,0,10
KB스타즈,13,034,201311,01,커리,F,24:18,2-8,0-0,4-4,0,5,5,2,2,2,3,0,8
KB스타즈,13,034,201311,01,김수연,C,23:44,5-7,0-0,0-1,5,2,7,0,1,0,3,0,10
KB스타즈,13,034,201311,01,콜맨,F,15:42,6-9,1-2,2-3,3,7,10,2,2,3,0,2,17
KB스타즈,13,034,201311,01,김가은,F,14:00,0-0,1-2,0-2,1,2,3,0,3,1,1,0,3
KB스타즈,13,034,201311,01,김채원,F,10:35,0-0,1-1,0-0,0,0,0,1,2,0,1,0,3
KB스타즈,13,034,201311,01,심성영,G,07:41,0-1,0-2,0-0,0,0,0,2,0,0,0,1,0
KB스타즈,13,034,201311,01,정미란,C,06:16,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
KB스타즈,13,034,201311,01,팀합계,팀합계,200:00,18-42,7-19,13-18,10,20,30,14,16,11,15,4,70
