team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KEB하나,57,034,201401,01,김정은,F,38:56,5-13,3-7,0-0,1,1,2,4,3,1,1,0,19
KEB하나,57,034,201401,01,박하나,G,31:53,2-4,2-4,0-0,0,0,0,0,5,0,1,1,10
KEB하나,57,034,201401,01,이유진,C,24:57,0-4,0-0,0-0,3,4,7,1,1,1,1,0,0
KEB하나,57,034,201401,01,이파이,F,20:38,6-15,0-0,3-4,6,7,13,2,2,3,0,0,15
KEB하나,57,034,201401,01,김보미,G,20:01,0-1,2-7,1-2,0,2,2,0,5,1,1,0,7
KEB하나,57,034,201401,01,샌포드,C,19:22,2-5,0-0,1-2,2,3,5,0,1,0,2,1,5
KEB하나,57,034,201401,01,김이슬,G,18:30,0-1,1-2,0-0,1,0,1,1,2,1,3,0,3
KEB하나,57,034,201401,01,김지현,G,18:14,0-1,0-4,2-2,0,1,1,4,2,0,0,0,2
KEB하나,57,034,201401,01,신지현,G,05:44,0-0,0-0,0-0,0,0,0,1,1,0,1,0,0
KEB하나,57,034,201401,01,강이슬,G,01:45,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0
KEB하나,57,034,201401,01,팀합계,팀합계,200:00,15-44,8-25,7-10,13,18,31,13,22,7,10,2,61
