team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
남부선발,1,035,201501,10,강아정,F,29:52,4-4,5-12,0-0,1,0,1,4,1,1,1,0,23
남부선발,1,035,201501,10,김단비,F,29:52,5-6,1-3,1-1,3,9,12,5,2,1,3,1,14
남부선발,1,035,201501,10,박하나,G,21:46,1-5,1-6,2-2,2,2,4,4,1,0,0,0,7
남부선발,1,035,201501,10,비키바흐,C,21:41,4-6,0-1,1-1,2,4,6,1,1,0,0,0,9
남부선발,1,035,201501,10,커리,F,19:56,2-7,3-6,3-3,1,1,2,5,0,2,1,1,16
남부선발,1,035,201501,10,배혜윤,F,18:46,2-3,0-0,1-1,1,1,2,2,0,1,1,0,5
남부선발,1,035,201501,10,스트릭렌,F,12:36,1-1,1-4,0-0,1,1,2,0,2,1,0,1,5
남부선발,1,035,201501,10,크리스마스,F,12:36,1-2,0-1,1-2,1,1,2,0,0,1,0,0,3
남부선발,1,035,201501,10,변연하,F,08:25,1-2,1-4,0-0,0,0,0,0,0,0,0,0,5
남부선발,1,035,201501,10,켈리,C,08:08,3-8,0-0,0-0,2,5,7,1,0,0,1,0,6
남부선발,1,035,201501,10,샌포드,C,07:10,1-3,0-0,0-1,0,1,1,0,0,0,0,0,2
남부선발,1,035,201501,10,홍아란,G,07:00,1-1,0-0,0-0,2,0,2,0,0,1,1,0,2
남부선발,1,035,201501,10,이미선,G,01:06,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
남부선발,1,035,201501,10,최윤아,G,01:06,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0
남부선발,1,035,201501,10,팀합계,팀합계,200:00,26-48,12-37,9-11,16,25,41,22,8,8,8,3,97
