team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
중부선발,1,035,201501,10,이승아,G,29:21,2-3,2-3,0-0,1,5,6,1,1,1,1,0,10
중부선발,1,035,201501,10,이경은,G,24:03,3-5,0-3,0-0,1,1,2,6,1,0,1,0,6
중부선발,1,035,201501,10,강이슬,G,23:29,2-2,3-6,1-1,3,0,3,0,0,2,1,0,14
중부선발,1,035,201501,10,토마스,F,20:26,6-13,0-0,0-0,0,5,5,2,1,0,2,0,12
중부선발,1,035,201501,10,박혜진,G,19:55,0-3,1-5,0-0,0,1,1,1,1,0,1,0,3
중부선발,1,035,201501,10,휴스턴,F,18:33,9-14,1-4,0-1,3,6,9,2,2,0,0,0,21
중부선발,1,035,201501,10,굿렛,C,15:15,4-6,0-0,0-1,1,3,4,1,0,1,1,0,8
중부선발,1,035,201501,10,테일러,C,14:47,3-3,0-0,0-0,2,5,7,1,1,1,1,0,6
중부선발,1,035,201501,10,심스,G,10:39,2-2,0-0,0-0,0,1,1,3,2,0,1,0,4
중부선발,1,035,201501,10,신지현,G,10:00,2-2,0-3,0-0,0,2,2,2,1,0,0,0,4
중부선발,1,035,201501,10,신정자,C,06:08,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
중부선발,1,035,201501,10,한채진,F,05:18,0-0,0-1,0-0,0,0,0,1,0,0,0,0,0
중부선발,1,035,201501,10,하지스,G,02:06,0-0,2-2,0-0,0,0,0,0,0,0,0,0,6
중부선발,1,035,201501,10,팀합계,팀합계,200:00,33-54,9-27,1-3,11,29,40,20,10,5,9,0,94
