team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KDB생명,37,037,201612,01,정유진,G,26:43,1-2,2-5,0-0,1,5,6,0,4,1,3,0,8
KDB생명,37,037,201612,01,한채진,F,25:28,2-3,0-3,1-1,1,2,3,3,3,1,3,0,5
KDB생명,37,037,201612,01,크리스마스,F,24:11,3-7,1-2,3-4,0,5,5,2,2,1,2,2,12
KDB생명,37,037,201612,01,노현지,F,18:17,1-1,1-2,0-0,0,0,0,3,1,0,1,0,5
KDB생명,37,037,201612,01,조은주,F,16:34,0-0,1-4,0-0,1,0,1,0,1,2,1,0,3
KDB생명,37,037,201612,01,이경은,G,16:20,2-4,0-0,2-2,0,1,1,1,1,2,2,0,6
KDB생명,37,037,201612,01,진안,C,15:55,2-5,0-0,0-0,0,4,4,1,0,1,0,0,4
KDB생명,37,037,201612,01,하킨스,C,15:49,3-6,0-0,2-3,1,3,4,0,3,1,2,1,8
KDB생명,37,037,201612,01,차지현,G,14:32,0-0,0-1,0-0,0,1,1,1,1,0,0,0,0
KDB생명,37,037,201612,01,안혜지,G,12:15,0-0,1-3,0-0,0,1,1,0,0,1,2,0,3
KDB생명,37,037,201612,01,김시온,G,08:05,0-0,1-2,0-0,1,0,1,0,2,0,0,0,3
KDB생명,37,037,201612,01,김소담,C,04:21,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0
KDB생명,37,037,201612,01,우수진,F,01:30,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
KDB생명,37,037,201612,01,팀합계,팀합계,200:00,14-29,7-22,8-10,5,22,27,11,18,10,17,3,57
