team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
핑크스타,1,038,201712,10,과트미,F,22:33,6-13,3-11,0-0,2,4,6,2,1,2,1,0,21
핑크스타,1,038,201712,10,김한별,F,22:01,3-3,0-5,0-0,3,4,7,6,0,2,2,1,6
핑크스타,1,038,201712,10,김단비,F,21:18,6-7,0-2,0-0,1,2,3,1,0,0,1,0,12
핑크스타,1,038,201712,10,단타스,C,20:49,5-6,1-5,0-0,2,4,6,3,0,0,1,0,13
핑크스타,1,038,201712,10,쏜튼,F,20:41,4-9,2-6,0-0,3,11,14,5,1,0,2,1,14
핑크스타,1,038,201712,10,염윤아,F,19:11,2-4,0-3,0-0,0,5,5,2,0,0,1,0,4
핑크스타,1,038,201712,10,박지수,C,17:31,2-6,0-3,0-0,3,7,10,0,1,0,0,1,4
핑크스타,1,038,201712,10,구슬,F,16:33,2-2,4-8,0-0,1,4,5,1,0,0,2,0,16
핑크스타,1,038,201712,10,백지은,F,15:21,2-3,0-3,0-0,2,3,5,0,0,0,0,0,4
핑크스타,1,038,201712,10,그레이,C,14:53,2-6,0-2,0-0,2,11,13,2,0,0,2,0,4
핑크스타,1,038,201712,10,임영희,F,09:09,1-1,0-1,0-0,0,0,0,2,0,0,0,0,2
핑크스타,1,038,201712,10,팀합계,팀합계,200:00,35-60,10-49,0-0,19,55,74,24,3,4,12,3,100
