team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
토요타,5,038,201709,08,마우리.,G,25:30,5-11,0-0,4-4,4,8,12,0,0,1,0,0,14
토요타,5,038,201709,08,나가오카,F,25:22,2-3,0-3,0-0,2,3,5,4,1,2,0,0,4
토요타,5,038,201709,08,마,C,21:48,2-5,0-0,0-0,3,3,6,1,0,0,1,0,4
토요타,5,038,201709,08,오가,G,20:52,0-4,0-1,0-0,0,0,0,6,0,0,0,0,0
토요타,5,038,201709,08,미요시,G,19:21,0-2,2-7,0-0,1,0,1,0,1,0,1,0,6
토요타,5,038,201709,08,야스마,G,19:08,2-8,0-0,0-0,0,1,1,2,0,2,0,0,4
토요타,5,038,201709,08,미즈시마,G,18:44,1-2,5-6,0-0,0,2,2,2,1,0,1,0,17
토요타,5,038,201709,08,모리,C,18:12,2-8,0-0,1-1,3,3,6,0,2,0,1,0,5
토요타,5,038,201709,08,이즈미타,F,14:30,2-6,0-0,0-0,3,3,6,0,2,0,0,0,4
토요타,5,038,201709,08,콘도,F,13:16,0-2,0-3,0-0,1,1,2,0,0,0,2,0,0
토요타,5,038,201709,08,힐,G,03:17,0-0,0-0,0-0,0,0,0,0,0,1,0,0,0
토요타,5,038,201709,08,팀합계,팀합계,200:00,16-51,7-20,5-5,17,24,41,15,7,6,6,0,58
