team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
ENEOS,6,038,201709,08,나카무라,F,26:12,6-11,0-0,0-1,1,5,6,3,1,2,1,0,12
ENEOS,6,038,201709,08,야마다,G,26:12,2-5,2-6,2-4,1,0,1,6,1,0,0,0,12
ENEOS,6,038,201709,08,미야자키,G,24:30,1-2,1-2,0-0,1,3,4,9,1,1,2,0,5
ENEOS,6,038,201709,08,우메자와,C,24:28,6-8,0-0,6-8,3,9,12,0,1,0,3,2,18
ENEOS,6,038,201709,08,이시하라,F,18:21,1-4,0-1,0-0,0,5,5,2,0,1,3,0,2
ENEOS,6,038,201709,08,하야시,G,18:19,2-5,2-2,2-2,1,5,6,0,0,1,0,0,12
ENEOS,6,038,201709,08,오누마,G,18:00,1-2,2-4,0-0,0,2,2,2,3,0,2,0,8
ENEOS,6,038,201709,08,미야자와,F,10:59,0-0,1-3,0-0,1,2,3,0,1,1,0,0,3
ENEOS,6,038,201709,08,오사키,C,10:59,3-4,0-0,3-3,2,3,5,0,0,0,1,0,9
ENEOS,6,038,201709,08,후지오카,G,10:23,1-2,1-1,2-2,0,0,0,6,0,0,1,0,7
ENEOS,6,038,201709,08,오카모토,G,08:34,0-0,2-3,0-0,0,3,3,1,0,0,1,0,6
ENEOS,6,038,201709,08,니시야마,G,03:03,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0
ENEOS,6,038,201709,08,팀합계,팀합계,200:00,23-44,11-23,15-20,10,37,47,29,8,6,14,2,94
