team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
OK저축은행,101,039,201903,01,진안,C,29:22,4-9,0-1,2-4,2,1,3,4,3,3,2,2,10
OK저축은행,101,039,201903,01,안혜지,G,28:52,1-2,1-6,0-0,0,1,1,9,2,3,3,0,5
OK저축은행,101,039,201903,01,구슬,F,28:11,2-3,6-6,3-3,0,8,8,1,3,0,1,1,25
OK저축은행,101,039,201903,01,이소희,G,27:50,4-6,1-3,2-2,1,5,6,4,0,1,4,0,13
OK저축은행,101,039,201903,01,노현지,F,25:12,3-3,2-4,3-3,1,4,5,1,2,2,1,0,15
OK저축은행,101,039,201903,01,김소담,C,25:04,2-5,0-2,2-2,0,3,3,2,3,1,0,1,6
OK저축은행,101,039,201903,01,정유진,G,18:59,1-1,1-3,0-0,1,3,4,1,3,0,0,0,5
OK저축은행,101,039,201903,01,김선희,F,03:18,1-1,0-0,0-0,0,0,0,0,0,1,0,0,2
OK저축은행,101,039,201903,01,김지은,F,03:18,0-1,0-1,0-0,0,0,0,0,2,0,0,0,0
OK저축은행,101,039,201903,01,김희진,G,03:18,0-0,1-1,0-0,0,1,1,0,0,0,1,0,3
OK저축은행,101,039,201903,01,차지현,G,03:18,0-0,0-0,2-2,0,0,0,1,1,0,0,0,2
OK저축은행,101,039,201903,01,홍소리,F,03:18,0-0,0-0,0-0,0,0,0,0,2,0,1,0,0
OK저축은행,101,039,201903,01,팀합계,팀합계,200:00,18-31,12-27,14-16,5,26,31,23,21,11,13,4,86
