team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
하나은행,73,042,202201,01,김지영,G,40:00,3-6,2-5,3-3,0,4,4,3,1,3,2,1,15
하나은행,73,042,202201,01,신지현,G,36:38,4-12,3-6,5-7,0,5,5,2,2,0,6,0,22
하나은행,73,042,202201,01,김단아,F,33:44,1-1,0-4,0-0,2,3,5,0,3,1,2,0,2
하나은행,73,042,202201,01,정예림,G,33:14,0-3,0-4,0-0,0,1,1,0,2,0,3,0,0
하나은행,73,042,202201,01,양인영,C,30:11,2-7,0-0,2-3,2,3,5,4,4,2,2,2,6
하나은행,73,042,202201,01,이하은,C,14:45,2-4,0-0,2-2,3,2,5,0,4,0,1,0,6
하나은행,73,042,202201,01,고아라,F,05:58,0-1,0-2,0-0,0,2,2,0,0,0,0,0,0
하나은행,73,042,202201,01,김하나,C,02:34,0-1,0-1,0-0,2,2,4,0,3,0,1,0,0
하나은행,73,042,202201,01,이채은,G,01:34,1-1,0-0,1-2,0,0,0,0,0,0,0,0,3
하나은행,73,042,202201,01,이정현,C,01:22,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
하나은행,73,042,202201,01,팀합계,팀합계,200:00,13-36,5-22,13-17,9,22,31,9,19,6,17,3,54
