team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
블루스타,1,044,202401,10,신지현,G,31:25,5-7,1-6,0-2,7,2,9,4,2,0,0,1,13
블루스타,1,044,202401,10,이명관,F,28:58,4-6,1-3,0-0,1,5,6,3,1,2,1,0,11
블루스타,1,044,202401,10,진안,C,26:06,13-17,0-0,0-1,6,4,10,4,0,1,1,1,26
블루스타,1,044,202401,10,강이슬,F,24:05,0-0,5-10,0-0,0,5,5,1,0,1,1,0,15
블루스타,1,044,202401,10,정예림,G,23:37,2-6,2-13,0-0,1,1,2,0,1,0,0,0,10
블루스타,1,044,202401,10,허예은,G,19:53,0-1,1-5,0-0,0,1,1,4,0,0,1,0,3
블루스타,1,044,202401,10,김소니아,F,18:33,3-3,0-3,0-0,1,3,4,3,0,0,2,0,6
블루스타,1,044,202401,10,양인영,C,15:31,1-2,0-0,0-0,2,3,5,0,0,0,0,0,2
블루스타,1,044,202401,10,김정은,F,08:42,1-2,0-1,0-0,0,1,1,0,0,0,1,0,2
블루스타,1,044,202401,10,이경은,G,03:10,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0
블루스타,1,044,202401,10,팀합계,팀합계,200:00,29-44,10-41,0-3,18,26,44,20,4,4,7,2,88
