team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
일본 올스타,1,045,202412,10,오카모토 미유,F,19:39,4-5,1-4,0-0,0,1,1,2,0,0,1,0,11
일본 올스타,1,045,202412,10,오쿠야마 리리카,F,19:32,1-2,0-2,0-0,0,4,4,2,0,0,1,0,2
일본 올스타,1,045,202412,10,미야시타 키호,F,16:52,2-3,0-2,0-0,0,2,2,0,0,0,1,0,4
일본 올스타,1,045,202412,10,사토 유리카,F,16:29,3-4,0-0,0-0,0,1,1,1,0,0,0,0,6
일본 올스타,1,045,202412,10,히라시타 아이카,F,15:46,1-2,1-5,0-0,0,1,1,0,0,0,0,0,5
일본 올스타,1,045,202412,10,히라스에 아스카,G,15:34,3-4,1-5,0-0,0,0,0,1,0,0,2,0,9
일본 올스타,1,045,202412,10,마치다 루이,G,15:23,2-3,0-1,0-0,2,2,4,3,1,0,0,0,4
일본 올스타,1,045,202412,10,노구치 사쿠라,F,15:08,3-3,0-1,0-0,1,3,4,1,0,0,0,0,6
일본 올스타,1,045,202412,10,모토카와 사나에,F,15:07,5-6,0-1,0-0,0,4,4,4,0,0,0,0,10
일본 올스타,1,045,202412,10,아카호,F,13:48,1-2,0-0,0-0,0,3,3,2,0,1,1,0,2
일본 올스타,1,045,202412,10,치나 유리,G,13:45,2-2,0-1,0-0,0,1,1,1,0,1,0,0,4
일본 올스타,1,045,202412,10,후지모토 마코,F,12:54,1-1,0-3,0-0,0,2,2,0,0,0,1,0,2
일본 올스타,1,045,202412,10,가와무라 미유키,C,10:03,1-2,0-0,0-0,0,1,1,1,0,0,0,0,2
일본 올스타,1,045,202412,10,팀합계,팀합계,200:00,29-39,3-25,0-0,3,25,28,18,1,2,7,0,67
