team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
한국 올스타,1,045,202412,10,진안,C,24:11,7-12,0-1,0-0,7,3,10,1,0,2,1,0,14
한국 올스타,1,045,202412,10,강이슬,F,22:45,1-2,5-12,0-0,4,4,8,5,0,0,2,0,17
한국 올스타,1,045,202412,10,허예은,G,17:51,0-0,0-6,0-0,1,2,3,3,0,0,0,0,0
한국 올스타,1,045,202412,10,나가타 모에,F,15:13,4-5,0-0,0-0,0,3,3,0,0,1,0,0,8
한국 올스타,1,045,202412,10,이소희,G,15:08,0-1,3-8,0-0,1,2,3,2,0,1,0,0,9
한국 올스타,1,045,202412,10,이명관,F,14:46,0-0,1-5,0-0,2,2,4,1,0,1,0,0,3
한국 올스타,1,045,202412,10,신지현,G,14:16,1-1,1-3,1-2,0,2,2,0,0,0,0,0,6
한국 올스타,1,045,202412,10,박혜진,G,12:05,0-0,2-7,0-0,0,0,0,2,0,0,0,0,6
한국 올스타,1,045,202412,10,배혜윤,C,10:36,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2
한국 올스타,1,045,202412,10,심성영,G,10:36,1-1,0-0,0-0,2,0,2,0,0,0,0,0,2
한국 올스타,1,045,202412,10,김단비,F,10:03,4-5,0-0,0-0,0,3,3,2,0,0,0,0,8
한국 올스타,1,045,202412,10,신이슬,G,09:24,1-1,0-2,0-0,0,0,0,0,0,0,0,0,2
한국 올스타,1,045,202412,10,김정은,F,07:20,3-3,0-1,0-0,0,0,0,2,0,0,0,0,6
한국 올스타,1,045,202412,10,이이지마 사키,F,05:20,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2
한국 올스타,1,045,202412,10,김진영,F,05:13,1-1,0-0,0-0,2,3,5,0,0,0,0,0,2
한국 올스타,1,045,202412,10,키아나 스미스,G,05:13,0-1,1-4,0-0,0,1,1,1,0,0,0,0,3
한국 올스타,1,045,202412,10,팀합계,팀합계,200:00,25-35,13-49,1-2,19,25,44,19,0,5,3,0,90
