team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
BNK 썸,40,045,202412,01,박혜진,G,32:28,1-7,0-0,0-0,3,3,6,0,2,0,1,1,2
BNK 썸,40,045,202412,01,안혜지,G,30:47,1-8,0-5,0-0,2,2,4,9,4,0,0,0,2
BNK 썸,40,045,202412,01,이소희,G,27:39,2-6,2-4,0-0,0,5,5,0,3,1,2,0,10
BNK 썸,40,045,202412,01,김소니아,F,25:00,3-9,0-5,2-2,1,3,4,1,0,2,1,0,8
BNK 썸,40,045,202412,01,이이지마 사키,F,24:08,3-4,0-3,2-2,2,3,5,0,1,0,0,1,8
BNK 썸,40,045,202412,01,변소정,F,21:48,2-3,0-1,0-1,2,3,5,0,1,1,1,1,4
BNK 썸,40,045,202412,01,박성진,C,12:38,0-2,0-0,2-2,4,1,5,0,2,0,0,0,2
BNK 썸,40,045,202412,01,심수현,G,11:37,1-7,0-1,1-4,0,2,2,2,3,1,0,0,3
BNK 썸,40,045,202412,01,김민아,G,09:07,1-2,0-1,2-2,0,0,0,1,1,2,0,0,4
BNK 썸,40,045,202412,01,김정은,F,03:20,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0
BNK 썸,40,045,202412,01,박경림,G,01:28,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
BNK 썸,40,045,202412,01,팀합계,팀합계,200:00,14-48,2-20,9-13,14,22,36,13,18,7,5,3,43
