team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
BNK 썸,14,046,202512,01,이소희,G,36:13,4-11,1-2,0-0,1,4,5,1,1,2,0,0,11
BNK 썸,14,046,202512,01,박혜진,G,34:21,1-4,2-3,5-6,2,1,3,1,1,0,0,0,13
BNK 썸,14,046,202512,01,안혜지,G,33:34,3-7,2-9,0-0,1,2,3,4,3,0,0,0,12
BNK 썸,14,046,202512,01,김소니아,F,33:01,1-8,1-2,3-4,2,3,5,3,3,1,2,0,8
BNK 썸,14,046,202512,01,변소정,F,18:41,1-3,0-0,1-1,0,0,0,1,3,0,1,0,3
BNK 썸,14,046,202512,01,김도연,C,15:41,0-2,0-0,0-2,3,2,5,0,2,0,2,0,0
BNK 썸,14,046,202512,01,김정은,F,13:39,0-3,0-0,0-0,1,2,3,0,0,0,0,0,0
BNK 썸,14,046,202512,01,스나가와 나츠키,G,06:01,0-0,0-0,2-2,0,0,0,0,1,0,0,0,2
BNK 썸,14,046,202512,01,이원정,G,04:40,0-1,0-0,0-0,1,0,1,1,0,0,0,0,0
BNK 썸,14,046,202512,01,박성진,C,02:36,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0
BNK 썸,14,046,202512,01,심수현,G,00:59,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
BNK 썸,14,046,202512,01,김민아,G,00:34,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
BNK 썸,14,046,202512,01,팀합계,팀합계,200:00,10-40,6-16,11-15,11,14,25,11,14,3,5,0,49
