team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
우리은행,19,046,202512,01,이명관,F,38:04,5-9,1-3,0-0,1,8,9,1,3,2,1,0,13
우리은행,19,046,202512,01,김단비,F,33:58,6-12,0-1,5-8,4,9,13,5,3,1,2,1,17
우리은행,19,046,202512,01,변하정,F,27:54,0-1,0-2,0-0,0,1,1,2,4,2,1,1,0
우리은행,19,046,202512,01,김예진,F,27:50,0-0,0-1,1-2,1,2,3,1,3,0,0,0,1
우리은행,19,046,202512,01,세키 나나미,G,26:28,3-8,2-6,0-0,1,4,5,1,2,2,4,1,12
우리은행,19,046,202512,01,이민지,G,25:43,4-8,1-4,3-4,0,5,5,0,4,0,1,1,14
우리은행,19,046,202512,01,강계리,G,14:46,1-3,0-3,0-0,0,0,0,3,4,0,0,0,2
우리은행,19,046,202512,01,오니즈카 아야노,G,04:11,0-2,1-1,0-0,0,1,1,0,0,1,0,0,3
우리은행,19,046,202512,01,심성영,G,01:06,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
우리은행,19,046,202512,01,팀합계,팀합계,200:00,19-43,5-21,9-14,7,30,37,13,23,8,9,4,62
