team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
신한은행,1,046,202511,01,신이슬,G,40:00,3-5,3-6,2-2,0,2,2,1,3,2,3,1,17
신한은행,1,046,202511,01,홍유순,F,40:00,6-9,0-1,2-2,4,0,4,3,3,4,2,1,14
신한은행,1,046,202511,01,김지영,G,34:04,2-4,0-3,0-0,0,2,2,6,3,0,4,2,4
신한은행,1,046,202511,01,김진영,F,20:18,2-6,1-3,1-2,2,2,4,0,0,0,1,0,8
신한은행,1,046,202511,01,신지현,G,17:11,2-3,0-1,1-2,0,5,5,3,3,1,2,1,5
신한은행,1,046,202511,01,최이샘,F,16:39,1-4,0-2,0-0,0,5,5,2,0,0,0,0,2
신한은행,1,046,202511,01,고나연,F,14:34,2-3,0-2,0-0,1,1,2,2,3,0,1,0,4
신한은행,1,046,202511,01,히라노 미츠키,G,14:11,0-2,0-2,0-0,0,1,1,1,0,0,0,0,0
신한은행,1,046,202511,01,김채은,C,03:03,0-0,0-0,0-0,0,1,1,0,1,0,0,0,0
신한은행,1,046,202511,01,팀합계,팀합계,200:00,18-36,4-20,6-8,7,19,26,18,16,7,13,5,54
