team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
삼성생명,26,046,202512,01,강유림,F,35:17,2-4,1-5,2-2,2,2,4,1,1,2,0,1,9
삼성생명,26,046,202512,01,이해란,F,34:10,7-10,2-4,0-2,1,7,8,2,3,1,6,0,20
삼성생명,26,046,202512,01,하마니시 나나미,G,27:28,0-2,0-1,0-0,1,1,2,6,4,1,4,0,0
삼성생명,26,046,202512,01,김아름,F,20:37,0-0,0-5,2-2,0,2,2,2,4,1,0,0,2
삼성생명,26,046,202512,01,윤예빈,G,20:31,2-4,0-3,2-2,1,2,3,1,2,0,2,0,6
삼성생명,26,046,202512,01,배혜윤,C,17:48,2-3,0-0,2-2,1,4,5,1,1,0,1,0,6
삼성생명,26,046,202512,01,조수아,G,15:53,0-4,1-3,0-0,1,0,1,3,0,1,2,0,3
삼성생명,26,046,202512,01,최예슬,F,11:53,3-4,0-0,0-0,0,2,2,0,3,0,1,0,6
삼성생명,26,046,202512,01,유하은,F,10:00,0-1,1-1,0-0,0,2,2,1,1,1,1,0,3
삼성생명,26,046,202512,01,김단비,F,05:39,0-2,0-0,0-0,0,0,0,0,0,0,0,0,0
삼성생명,26,046,202512,01,이예나,F,00:44,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
삼성생명,26,046,202512,01,팀합계,팀합계,200:00,16-34,5-22,8-10,7,22,29,17,19,7,17,1,55
