team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
하나은행,27,046,202512,01,진안,C,37:03,14-25,0-0,3-4,5,7,12,1,1,0,0,0,31
하나은행,27,046,202512,01,이이지마 사키,F,35:54,3-9,1-7,3-3,2,3,5,4,1,2,2,4,12
하나은행,27,046,202512,01,정예림,G,31:08,0-0,0-2,0-0,4,1,5,1,3,0,1,1,0
하나은행,27,046,202512,01,박소희,G,27:56,1-2,0-4,0-0,0,5,5,1,2,0,2,1,2
하나은행,27,046,202512,01,김정은,F,23:28,1-5,0-1,1-3,1,5,6,5,3,0,0,0,3
하나은행,27,046,202512,01,박진영,F,15:50,4-5,1-1,1-1,0,1,1,0,1,0,0,0,12
하나은행,27,046,202512,01,고서연,G,12:56,0-1,2-3,0-0,1,1,2,1,3,1,0,0,6
하나은행,27,046,202512,01,정현,F,12:05,0-1,0-2,0-0,1,0,1,0,3,0,2,0,0
하나은행,27,046,202512,01,이다현,F,03:40,0-1,0-0,0-0,0,0,0,0,1,0,0,0,0
하나은행,27,046,202512,01,팀합계,팀합계,200:00,23-49,4-20,8-11,14,23,37,13,18,3,7,6,66
