team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts
KB스타즈,3,046,202511,01,강이슬,F,31:39,1-2,3-6,1-2,1,7,8,2,4,0,2,1,12
KB스타즈,3,046,202511,01,사카이 사라,G,28:21,4-6,0-5,0-0,2,2,4,4,1,3,2,0,8
KB스타즈,3,046,202511,01,허예은,G,27:30,1-3,2-4,0-0,1,4,5,6,4,0,2,0,8
KB스타즈,3,046,202511,01,나윤정,F,22:40,1-1,2-6,0-0,0,3,3,1,3,0,1,0,8
KB스타즈,3,046,202511,01,송윤하,C,20:24,3-7,0-0,2-2,6,1,7,1,2,0,1,1,8
KB스타즈,3,046,202511,01,박지수,C,17:13,3-4,0-1,1-2,2,4,6,1,2,0,5,0,7
KB스타즈,3,046,202511,01,성수연,G,16:38,2-4,0-1,3-3,1,0,1,3,5,0,2,1,7
KB스타즈,3,046,202511,01,이채은,G,14:22,2-3,4-4,0-0,0,0,0,0,3,1,0,0,16
KB스타즈,3,046,202511,01,양지수,F,14:04,0-2,2-2,0-0,0,2,2,1,0,1,0,0,6
KB스타즈,3,046,202511,01,고현지,F,02:41,1-2,0-0,0-0,1,1,2,0,1,0,1,0,2
KB스타즈,3,046,202511,01,이여명,G,02:41,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0
KB스타즈,3,046,202511,01,고리미,F,01:47,0-0,0-1,0-0,0,0,0,0,0,0,0,0,0
KB스타즈,3,046,202511,01,팀합계,팀합계,200:00,18-35,13-30,7-9,14,25,39,19,25,5,16,3,82
