season_gu,game_type,ym,game_no,game_key,team_a,team_b,pts_a,pts_b,margin,winner
046,1,202511,1,46-1-202511-1,BNK썸,신한은행,130,108,22,BNK썸
046,1,202511,10,46-1-202511-10,BNK썸,우리은행,108,90,18,BNK썸
046,1,202511,11,46-1-202511-11,KB스타즈,하나은행,114,134,-20,하나은행
046,1,202511,12,46-1-202511-12,삼성생명,신한은행,130,116,14,삼성생명
046,1,202511,13,46-1-202511-13,KB스타즈,우리은행,138,130,8,KB스타즈
046,1,202511,2,46-1-202511-2,우리은행,하나은행,90,132,-42,하나은행
046,1,202511,3,46-1-202511-3,KB스타즈,삼성생명,164,122,42,KB스타즈
046,1,202511,4,46-1-202511-4,신한은행,하나은행,152,124,28,신한은행
046,1,202511,5,46-1-202511-5,삼성생명,우리은행,126,88,38,삼성생명
046,1,202511,6,46-1-202511-6,BNK썸,KB스타즈,110,128,-18,KB스타즈
046,1,202511,7,46-1-202511-7,신한은행,우리은행,102,150,-48,우리은행
046,1,202511,8,46-1-202511-8,삼성생명,하나은행,128,152,-24,하나은행
046,1,202511,9,46-1-202511-9,KB스타즈,신한은행,124,122,2,KB스타즈
046,1,202512,14,46-1-202512-14,BNK썸,하나은행,98,120,-22,하나은행
046,1,202512,15,46-1-202512-15,BNK썸,삼성생명,144,134,10,BNK썸
046,1,202512,16,46-1-202512-16,우리은행,하나은행,124,142,-18,하나은행
046,1,202512,17,46-1-202512-17,BNK썸,삼성생명,124,130,-6,삼성생명
046,1,202512,18,46-1-202512-18,KB스타즈,신한은행,106,124,-18,신한은행
046,1,202512,19,46-1-202512-19,삼성생명,우리은행,118,124,-6,우리은행
046,1,202512,20,46-1-202512-20,신한은행,하나은행,116,138,-22,하나은행
046,1,202512,21,46-1-202512-21,BNK썸,KB스타즈,160,156,4,BNK썸
046,1,202512,22,46-1-202512-22,KB스타즈,우리은행,108,118,-10,우리은행
046,1,202512,23,46-1-202512-23,BNK썸,신한은행,126,122,4,BNK썸
046,1,202512,24,46-1-202512-24,삼성생명,하나은행,134,148,-14,하나은행
046,1,202512,25,46-1-202512-25,신한은행,우리은행,88,94,-6,우리은행
046,1,202512,26,46-1-202512-26,KB스타즈,삼성생명,132,110,22,KB스타즈
046,1,202512,27,46-1-202512-27,BNK썸,하나은행,138,132,6,BNK썸
046,1,202512,28,46-1-202512-28,BNK썸,우리은행,104,114,-10,우리은행
046,1,202512,29,46-1-202512-29,KB스타즈,하나은행,140,92,48,KB스타즈
046,1,202512,30,46-1-202512-30,삼성생명,신한은행,158,148,10,삼성생명
046,1,202512,31,46-1-202512-31,우리은행,하나은행,106,122,-16,하나은행
046,1,202512,32,46-1-202512-32,BNK썸,KB스타즈,114,140,-26,KB스타즈
046,1,202512,33,46-1-202512-33,삼성생명,우리은행,102,88,14,삼성생명
046,1,202512,34,46-1-202512-34,신한은행,하나은행,124,128,-4,하나은행
046,1,202512,35,46-1-202512-35,KB스타즈,우리은행,132,136,-4,우리은행
046,1,202512,36,46-1-202512-36,BNK썸,삼성생명,124,110,14,BNK썸
046,1,202512,37,46-1-202512-37,KB스타즈,하나은행,144,162,-18,하나은행
