season_gu,team,name,gp,pos,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,min_per_game,scope
037,KB스타즈,강아정,31,F,1197.1166666666666,60.0,161.0,61.0,204.0,101.0,119.0,29.0,114.0,143.0,92.0,78.0,51.0,81.0,2.0,404.0,121.0,365.0,33.2,37.3,29.9,84.9,41.5,48.4,349.0,38.6,totals
037,KB스타즈,김가은,35,F,887.6,42.0,84.0,40.0,147.0,27.0,37.0,21.0,55.0,76.0,17.0,100.0,35.0,58.0,15.0,231.0,82.0,231.0,35.5,50.0,27.2,73.0,44.2,46.7,157.0,25.4,totals
037,KB스타즈,김민정,14,F,70.56666666666666,4.0,13.0,0.0,4.0,1.0,1.0,7.0,8.0,15.0,3.0,10.0,1.0,3.0,0.0,9.0,4.0,17.0,23.5,30.8,0.0,100.0,23.5,25.8,12.0,5.0,totals
037,KB스타즈,김보미,21,F,303.8333333333333,9.0,30.0,16.0,51.0,5.0,6.0,19.0,27.0,46.0,13.0,32.0,6.0,18.0,2.0,71.0,25.0,81.0,30.9,30.0,31.4,83.3,40.7,42.4,63.0,14.5,totals
037,KB스타즈,김수연,20,C,141.5,8.0,33.0,0.0,0.0,0.0,0.0,7.0,34.0,41.0,16.0,26.0,3.0,18.0,4.0,16.0,8.0,33.0,24.2,24.2,0.0,0.0,24.2,24.2,37.0,7.1,totals
037,KB스타즈,김진영,35,G,427.35,18.0,56.0,6.0,32.0,6.0,13.0,16.0,36.0,52.0,16.0,38.0,8.0,25.0,6.0,60.0,24.0,88.0,27.3,32.1,18.8,46.2,30.7,32.0,46.0,12.2,totals
037,KB스타즈,김한비,8,F,20.55,3.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,6.0,3.0,3.0,100.0,100.0,0.0,0.0,100.0,77.3,5.0,2.6,totals
037,KB스타즈,김현아,13,G,85.25,2.0,10.0,1.0,8.0,5.0,8.0,3.0,10.0,13.0,4.0,16.0,5.0,5.0,1.0,12.0,3.0,18.0,16.7,20.0,12.5,62.5,19.4,27.9,12.0,6.6,totals
037,KB스타즈,김희진,3,G,5.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.9,totals
037,KB스타즈,바샤라,11,C,154.26666666666668,25.0,59.0,0.0,0.0,16.0,27.0,28.0,34.0,62.0,7.0,16.0,5.0,17.0,2.0,66.0,25.0,59.0,42.4,42.4,0.0,59.3,42.4,46.6,80.0,14.0,totals
