team,game_no,season_gu,ym,game_type,name,pos,min,fg2,fg3,ft,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,min_dec,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,game_key,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,opponent
BNK썸,10,046,202511,1,박혜진,G,33:38,4-9,1-4,1-1,1,8,9,3,4,0,2,0,12,33.63333333333333,4,9,1,4,1,1,46-202511-10,5,13,38.5,44.4,25.0,100.0,42.3,44.6,14,우리은행
BNK썸,10,046,202511,1,이소희,G,31:55,6-8,0-4,4-4,0,6,6,0,3,0,0,0,16,31.916666666666668,6,8,0,4,4,4,46-202511-10,6,12,50.0,75.0,0.0,100.0,50.0,58.1,16,우리은행
BNK썸,10,046,202511,1,안혜지,G,30:26,0-2,1-7,0-2,3,4,7,3,0,0,0,0,3,30.433333333333334,0,2,1,7,0,2,46-202511-10,1,9,11.1,0.0,14.3,0.0,16.7,15.2,3,우리은행
BNK썸,10,046,202511,1,김소니아,F,29:15,5-8,0-1,4-5,3,7,10,1,4,0,2,0,14,29.25,5,8,0,1,4,5,46-202511-10,5,9,55.6,62.5,0.0,80.0,55.6,62.5,18,우리은행
BNK썸,10,046,202511,1,변소정,F,24:28,2-7,0-0,0-0,3,2,5,0,2,1,1,0,4,24.466666666666665,2,7,0,0,0,0,46-202511-10,2,7,28.6,28.6,0.0,0.0,28.6,28.6,4,우리은행
BNK썸,10,046,202511,1,김정은,F,19:14,0-0,0-2,1-2,1,3,4,2,1,0,2,1,1,19.233333333333334,0,0,0,2,1,2,46-202511-10,0,2,0.0,0.0,0.0,50.0,0.0,17.4,3,우리은행
BNK썸,10,046,202511,1,이원정,G,11:06,1-2,0-1,0-0,0,0,0,0,1,0,0,0,2,11.1,1,2,0,1,0,0,46-202511-10,1,3,33.3,50.0,0.0,0.0,33.3,33.3,0,우리은행
BNK썸,10,046,202511,1,김도연,C,07:49,0-1,0-0,0-0,1,1,2,1,1,0,0,1,0,7.816666666666666,0,1,0,0,0,0,46-202511-10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,3,우리은행
BNK썸,10,046,202511,1,스나가와 나츠키,G,07:22,0-2,0-1,0-0,1,2,3,0,1,0,1,0,0,7.366666666666666,0,2,0,1,0,0,46-202511-10,0,3,0.0,0.0,0.0,0.0,0.0,0.0,-1,우리은행
BNK썸,10,046,202511,1,심수현,G,04:09,0-3,0-0,2-2,0,1,1,0,0,0,0,0,2,4.15,0,3,0,0,2,2,46-202511-10,0,3,0.0,0.0,0.0,100.0,0.0,25.8,0,우리은행
BNK썸,10,046,202511,1,박지수,F,00:38,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,0.6333333333333333,0,0,0,0,0,0,46-202511-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-1,우리은행
BNK썸,10,046,202511,1,팀합계,팀합계,200:00,18-42,2-20,12-16,13,34,47,10,17,1,9,2,54,200.0,18,42,2,20,12,16,46-202511-10,20,62,32.3,42.9,10.0,75.0,33.9,39.1,59,우리은행
우리은행,10,046,202511,1,이명관,F,38:23,5-8,0-3,0-0,1,0,1,0,3,0,1,0,10,38.38333333333333,5,8,0,3,0,0,46-202511-10,5,11,45.5,62.5,0.0,0.0,45.5,45.5,4,BNK썸
우리은행,10,046,202511,1,변하정,F,30:48,0-0,1-2,0-0,0,8,8,0,4,1,1,1,3,30.8,0,0,1,2,0,0,46-202511-10,1,2,50.0,0.0,50.0,0.0,75.0,75.0,11,BNK썸
우리은행,10,046,202511,1,강계리,G,27:37,1-7,0-2,0-1,1,2,3,0,4,0,0,0,2,27.616666666666667,1,7,0,2,0,1,46-202511-10,1,9,11.1,14.3,0.0,0.0,11.1,10.6,-4,BNK썸
우리은행,10,046,202511,1,김예진,F,26:08,0-1,0-2,0-0,1,5,6,0,0,0,0,0,0,26.133333333333333,0,1,0,2,0,0,46-202511-10,0,3,0.0,0.0,0.0,0.0,0.0,0.0,3,BNK썸
우리은행,10,046,202511,1,김단비,F,25:46,6-13,0-2,2-3,2,7,9,1,3,0,2,0,14,25.766666666666666,6,13,0,2,2,3,46-202511-10,6,15,40.0,46.2,0.0,66.7,40.0,42.9,12,BNK썸
우리은행,10,046,202511,1,세키 나나미,G,25:06,2-7,0-2,0-0,0,1,1,3,4,1,2,0,4,25.1,2,7,0,2,0,0,46-202511-10,2,9,22.2,28.6,0.0,0.0,22.2,22.2,0,BNK썸
우리은행,10,046,202511,1,이민지,G,16:24,2-5,1-5,3-4,0,0,0,0,1,2,0,0,10,16.4,2,5,1,5,3,4,46-202511-10,3,10,30.0,40.0,20.0,75.0,35.0,42.5,4,BNK썸
우리은행,10,046,202511,1,오니즈카 아야노,G,04:14,0-1,0-0,0-0,1,0,1,0,1,2,0,0,0,4.233333333333333,0,1,0,0,0,0,46-202511-10,0,1,0.0,0.0,0.0,0.0,0.0,0.0,2,BNK썸
우리은행,10,046,202511,1,박혜미,F,03:22,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,3.3666666666666667,0,0,0,0,0,0,46-202511-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,BNK썸
우리은행,10,046,202511,1,심성영,G,02:12,1-1,0-0,0-0,0,0,0,1,0,0,0,0,2,2.2,1,1,0,0,0,0,46-202511-10,1,1,100.0,100.0,0.0,0.0,100.0,100.0,3,BNK썸
우리은행,10,046,202511,1,팀합계,팀합계,200:00,17-43,2-18,5-8,6,24,30,5,20,6,6,1,45,200.0,17,43,2,18,5,8,46-202511-10,19,61,31.1,39.5,11.1,62.5,32.8,34.9,36,BNK썸
KB스타즈,11,046,202511,1,송윤하,C,34:06,4-8,1-1,0-0,2,3,5,1,2,0,1,1,11,34.1,4,8,1,1,0,0,46-202511-11,5,9,55.6,50.0,100.0,0.0,61.1,61.1,13,하나은행
KB스타즈,11,046,202511,1,허예은,G,33:22,1-7,2-10,2-2,1,1,2,9,0,1,1,0,10,33.36666666666667,1,7,2,10,2,2,46-202511-11,3,17,17.6,14.3,20.0,100.0,23.5,28.0,7,하나은행
KB스타즈,11,046,202511,1,사카이 사라,G,31:16,2-8,1-3,0-0,2,4,6,1,4,2,1,0,7,31.266666666666666,2,8,1,3,0,0,46-202511-11,3,11,27.3,25.0,33.3,0.0,31.8,31.8,7,하나은행
KB스타즈,11,046,202511,1,나윤정,F,25:01,1-4,1-8,0-0,1,4,5,0,0,0,0,0,5,25.016666666666666,1,4,1,8,0,0,46-202511-11,2,12,16.7,25.0,12.5,0.0,20.8,20.8,0,하나은행
KB스타즈,11,046,202511,1,이채은,G,24:50,0-2,1-3,2-2,0,0,0,0,2,2,0,0,5,24.833333333333332,0,2,1,3,2,2,46-202511-11,1,5,20.0,0.0,33.3,100.0,30.0,42.5,3,하나은행
KB스타즈,11,046,202511,1,강이슬,F,24:25,3-11,3-5,2-2,6,3,9,1,5,0,1,1,17,24.416666666666668,3,11,3,5,2,2,46-202511-11,6,16,37.5,27.3,60.0,100.0,46.9,50.4,17,하나은행
KB스타즈,11,046,202511,1,양지수,F,15:12,0-1,0-1,0-0,0,2,2,0,1,2,0,0,0,15.2,0,1,0,1,0,0,46-202511-11,0,2,0.0,0.0,0.0,0.0,0.0,0.0,2,하나은행
KB스타즈,11,046,202511,1,성수연,G,09:03,1-2,0-0,0-0,2,0,2,0,1,1,1,0,2,9.05,1,2,0,0,0,0,46-202511-11,1,2,50.0,50.0,0.0,0.0,50.0,50.0,3,하나은행
KB스타즈,11,046,202511,1,고현지,F,01:26,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,1.4333333333333333,0,0,0,0,0,0,46-202511-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,하나은행
KB스타즈,11,046,202511,1,이여명,G,01:19,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,1.3166666666666667,0,1,0,0,0,0,46-202511-11,0,1,0.0,0.0,0.0,0.0,0.0,0.0,-1,하나은행
KB스타즈,11,046,202511,1,팀합계,팀합계,200:00,12-44,9-31,6-6,14,17,31,12,15,8,5,2,57,200.0,12,44,9,31,6,6,46-202511-11,21,75,28.0,27.3,29.0,100.0,34.0,36.7,51,하나은행
하나은행,11,046,202511,1,정현,F,33:51,1-2,1-4,0-0,3,7,10,3,2,0,1,2,5,33.85,1,2,1,4,0,0,46-202511-11,2,6,33.3,50.0,25.0,0.0,41.7,41.7,15,KB스타즈
하나은행,11,046,202511,1,정예림,G,32:17,2-4,0-1,0-0,2,6,8,3,2,1,0,1,4,32.28333333333333,2,4,0,1,0,0,46-202511-11,2,5,40.0,50.0,0.0,0.0,40.0,40.0,14,KB스타즈
하나은행,11,046,202511,1,박소희,G,30:57,3-6,1-6,4-4,1,4,5,3,1,0,3,0,13,30.95,3,6,1,6,4,4,46-202511-11,4,12,33.3,50.0,16.7,100.0,37.5,47.2,10,KB스타즈
하나은행,11,046,202511,1,이이지마 사키,F,30:27,6-10,2-3,2-2,5,5,10,1,1,1,1,0,20,30.45,6,10,2,3,2,2,46-202511-11,8,13,61.5,60.0,66.7,100.0,69.2,72.0,26,KB스타즈
하나은행,11,046,202511,1,고서연,G,22:04,1-3,1-5,0-0,1,3,4,4,2,0,3,0,5,22.066666666666666,1,3,1,5,0,0,46-202511-11,2,8,25.0,33.3,20.0,0.0,31.2,31.2,4,KB스타즈
하나은행,11,046,202511,1,진안,C,20:42,5-8,0-0,1-2,0,2,2,1,5,1,1,1,11,20.7,5,8,0,0,1,2,46-202511-11,5,8,62.5,62.5,0.0,50.0,62.5,61.9,11,KB스타즈
하나은행,11,046,202511,1,김정은,F,16:22,3-5,1-1,0-0,0,4,4,1,2,0,2,1,9,16.366666666666667,3,5,1,1,0,0,46-202511-11,4,6,66.7,60.0,100.0,0.0,75.0,75.0,11,KB스타즈
하나은행,11,046,202511,1,박진영,F,07:13,0-1,0-1,0-0,1,1,2,0,3,0,1,0,0,7.216666666666667,0,1,0,1,0,0,46-202511-11,0,2,0.0,0.0,0.0,0.0,0.0,0.0,-1,KB스타즈
하나은행,11,046,202511,1,양인영,C,06:07,0-2,0-0,0-0,1,0,1,0,0,0,2,0,0,6.116666666666666,0,2,0,0,0,0,46-202511-11,0,2,0.0,0.0,0.0,0.0,0.0,0.0,-3,KB스타즈
하나은행,11,046,202511,1,팀합계,팀합계,200:00,21-41,6-21,7-8,14,32,46,16,18,3,14,5,67,200.0,21,41,6,21,7,8,46-202511-11,27,62,43.5,51.2,28.6,87.5,48.4,51.1,87,KB스타즈
삼성생명,12,046,202511,1,이해란,F,35:32,11-17,0-2,8-10,2,6,8,0,1,2,0,0,30,35.53333333333333,11,17,0,2,8,10,46-202511-12,11,19,57.9,64.7,0.0,80.0,57.9,64.1,30,신한은행
삼성생명,12,046,202511,1,배혜윤,C,32:13,2-7,0-0,1-2,0,5,5,9,2,2,1,3,5,32.21666666666667,2,7,0,0,1,2,46-202511-12,2,7,28.6,28.6,0.0,50.0,28.6,31.7,17,신한은행
삼성생명,12,046,202511,1,강유림,F,30:03,0-0,0-1,2-2,1,3,4,0,2,0,1,3,2,30.05,0,0,0,1,2,2,46-202511-12,0,1,0.0,0.0,0.0,100.0,0.0,53.2,7,신한은행
삼성생명,12,046,202511,1,이주연,G,23:30,2-6,1-3,0-0,0,2,2,1,4,0,3,0,7,23.5,2,6,1,3,0,0,46-202511-12,3,9,33.3,33.3,33.3,0.0,38.9,38.9,1,신한은행
삼성생명,12,046,202511,1,윤예빈,G,22:39,3-3,1-3,2-6,1,3,4,0,3,2,0,0,11,22.65,3,3,1,3,2,6,46-202511-12,4,6,66.7,100.0,33.3,33.3,75.0,63.7,11,신한은행
삼성생명,12,046,202511,1,김아름,F,19:50,0-1,0-2,0-0,1,2,3,1,3,0,1,0,0,19.833333333333332,0,1,0,2,0,0,46-202511-12,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,신한은행
