season_gu,team,gp,wins,pts_for,pts_against,margin_total,losses,win_pct,pts_for_per_game,pts_against_per_game,margin_per_game
001,KB스타즈,8,1,653,701,-48,7,0.125,81.62,87.62,-6.0
001,삼성생명,8,7,655,595,60,1,0.875,81.88,74.38,7.5
001,신세계,8,5,628,603,25,3,0.625,78.5,75.38,3.12
001,우리은행,8,4,560,573,-13,4,0.5,70.0,71.62,-1.62
001,현대,8,3,594,618,-24,5,0.375,74.25,77.25,-3.0
002,KB스타즈,4,2,301,311,-10,2,0.5,75.25,77.75,-2.5
002,삼성생명,4,2,326,325,1,2,0.5,81.5,81.25,0.25
002,신세계,4,3,324,288,36,1,0.75,81.0,72.0,9.0
002,우리은행,4,3,284,275,9,1,0.75,71.0,68.75,2.25
002,현대,4,0,309,345,-36,4,0.0,77.25,86.25,-9.0
003,KB스타즈,12,4,903,1005,-102,8,0.333,75.25,83.75,-8.5
003,삼성생명,12,10,1117,952,165,2,0.833,93.08,79.33,13.75
003,신세계,12,4,930,1003,-73,8,0.333,77.5,83.58,-6.08
003,우리은행,12,3,823,913,-90,9,0.25,68.58,76.08,-7.5
003,현대,12,9,1079,979,100,3,0.75,89.92,81.58,8.34
005,KB스타즈,8,1,589,669,-80,7,0.125,73.62,83.62,-10.0
005,삼성생명,8,6,661,600,61,2,0.75,82.62,75.0,7.62
005,신세계,8,4,600,592,8,4,0.5,75.0,74.0,1.0
005,우리은행,8,4,556,567,-11,4,0.5,69.5,70.88,-1.38
005,현대,8,5,649,627,22,3,0.625,81.12,78.38,2.74
006,KB스타즈,20,10,1513,1603,-90,10,0.5,75.65,80.15,-4.5
006,금호생명,20,1,1328,1508,-180,19,0.05,66.4,75.4,-9.0
006,삼성생명,20,12,1591,1499,92,8,0.6,79.55,74.95,4.6
006,신세계,20,15,1657,1482,175,5,0.75,82.85,74.1,8.75
006,우리은행,20,9,1430,1514,-84,11,0.45,71.5,75.7,-4.2
006,현대,20,13,1636,1549,87,7,0.65,81.8,77.45,4.35
007,KB스타즈,10,3,716,773,-57,7,0.3,71.6,77.3,-5.7
007,금호생명,10,1,702,834,-132,9,0.1,70.2,83.4,-13.2
007,삼성생명,10,7,768,712,56,3,0.7,76.8,71.2,5.6
007,신세계,10,8,798,730,68,2,0.8,79.8,73.0,6.8
007,우리은행,10,5,710,689,21,5,0.5,71.0,68.9,2.1
007,현대,10,6,812,768,44,4,0.6,81.2,76.8,4.4
008,KB스타즈,25,10,1858,1878,-20,15,0.4,74.32,75.12,-0.8
008,금호생명,25,5,1739,1952,-213,20,0.2,69.56,78.08,-8.52
008,삼성생명,25,13,1768,1782,-14,12,0.52,70.72,71.28,-0.56
008,신세계,25,19,1930,1775,155,6,0.76,77.2,71.0,6.2
008,우리은행,25,13,1771,1767,4,12,0.52,70.84,70.68,0.16
008,현대,25,15,1794,1706,88,10,0.6,71.76,68.24,3.52
009,KB스타즈,18,12,1301,1228,73,6,0.667,72.28,68.22,4.06
009,금호생명,18,6,1360,1475,-115,12,0.333,75.56,81.94,-6.38
009,삼성생명,19,9,1313,1323,-10,10,0.474,69.11,69.63,-0.52
009,신세계,19,11,1377,1331,46,8,0.579,72.47,70.05,2.42
009,우리은행,19,8,1329,1325,4,11,0.421,69.95,69.74,0.21
009,현대,19,10,1306,1304,2,9,0.526,68.74,68.63,0.11
011,KB스타즈,15,5,1121,1138,-17,10,0.333,74.73,75.87,-1.14
011,금호생명,15,3,1022,1169,-147,12,0.2,68.13,77.93,-9.8
011,삼성생명,15,10,1168,1117,51,5,0.667,77.87,74.47,3.4
011,신세계,15,8,1079,1036,43,7,0.533,71.93,69.07,2.86
011,우리은행,15,9,1108,1082,26,6,0.6,73.87,72.13,1.74
011,현대,15,10,1161,1117,44,5,0.667,77.4,74.47,2.93
012,KB스타즈,20,8,1708,1747,-39,12,0.4,85.4,87.35,-1.95
012,금호생명,20,7,1475,1563,-88,13,0.35,73.75,78.15,-4.4
012,삼성생명,20,13,1722,1622,100,7,0.65,86.1,81.1,5.0
012,신세계,20,9,1501,1540,-39,11,0.45,75.05,77.0,-1.95
012,우리은행,20,14,1711,1604,107,6,0.7,85.55,80.2,5.35
012,현대,20,9,1461,1502,-41,11,0.45,73.05,75.1,-2.05
013,KB스타즈,20,9,1458,1485,-27,11,0.45,72.9,74.25,-1.35
013,금호생명,20,2,1493,1672,-179,18,0.1,74.65,83.6,-8.95
013,삼성생명,20,16,1727,1625,102,4,0.8,86.35,81.25,5.1
013,신세계,20,12,1426,1372,54,8,0.6,71.3,68.6,2.7
013,우리은행,20,12,1424,1395,29,8,0.6,71.2,69.75,1.45
013,현대,20,9,1503,1482,21,11,0.45,75.15,74.1,1.05
015,KB스타즈,20,12,1325,1336,-11,8,0.6,66.25,66.8,-0.55
015,금호생명,20,11,1408,1326,82,9,0.55,70.4,66.3,4.1
015,삼성생명,20,14,1406,1330,76,6,0.7,70.3,66.5,3.8
015,신세계,20,3,1252,1399,-147,17,0.15,62.6,69.95,-7.35
015,우리은행,20,10,1260,1263,-3,10,0.5,63.0,63.15,-0.15
015,현대,20,10,1384,1381,3,10,0.5,69.2,69.05,0.15
016,KB스타즈,10,9,714,569,145,1,0.9,71.4,56.9,14.5
016,금호생명,10,2,590,687,-97,8,0.2,59.0,68.7,-9.7
016,삼성생명,10,5,631,636,-5,5,0.5,63.1,63.6,-0.5
016,신세계,10,2,650,685,-35,8,0.2,65.0,68.5,-3.5
016,우리은행,10,5,639,708,-69,5,0.5,63.9,70.8,-6.9
016,현대,10,7,720,659,61,3,0.7,72.0,65.9,6.1
017,KB스타즈,18,10,1194,1178,16,8,0.556,66.33,65.44,0.89
017,금호생명,18,10,1244,1227,17,8,0.556,69.11,68.17,0.94
017,삼성생명,18,8,1192,1198,-6,10,0.444,66.22,66.56,-0.34
017,신세계,19,7,1218,1261,-43,12,0.368,64.11,66.37,-2.26
017,신한은행,19,8,1233,1249,-16,11,0.421,64.89,65.74,-0.85
017,우리은행,18,12,1163,1131,32,6,0.667,64.61,62.83,1.78
018,KB스타즈,5,3,307,291,16,2,0.6,61.4,58.2,3.2
018,금호생명,5,3,292,287,5,2,0.6,58.4,57.4,1.0
018,삼성생명,5,3,314,331,-17,2,0.6,62.8,66.2,-3.4
018,신세계,5,2,317,326,-9,3,0.4,63.4,65.2,-1.8
018,신한은행,5,4,354,301,53,1,0.8,70.8,60.2,10.6
018,우리은행,5,0,335,383,-48,5,0.0,67.0,76.6,-9.6
019,KB스타즈,20,12,1296,1240,56,8,0.6,64.8,62.0,2.8
019,금호생명,20,8,1291,1320,-29,12,0.4,64.55,66.0,-1.45
019,삼성생명,20,10,1350,1321,29,10,0.5,67.5,66.05,1.45
019,신세계,20,3,1163,1303,-140,17,0.15,58.15,65.15,-7.0
019,신한은행,20,12,1268,1237,31,8,0.6,63.4,61.85,1.55
019,우리은행,20,15,1229,1176,53,5,0.75,61.45,58.8,2.65
020,KB스타즈,16,4,1110,1200,-90,12,0.25,69.38,75.0,-5.62
020,금호생명,16,9,1082,1082,0,7,0.562,67.62,67.62,0.0
020,삼성생명,16,8,1107,1166,-59,8,0.5,69.19,72.88,-3.69
020,신세계,16,2,1106,1256,-150,14,0.125,69.12,78.5,-9.38
020,신한은행,16,11,1159,1053,106,5,0.688,72.44,65.81,6.63
020,우리은행,16,14,1245,1052,193,2,0.875,77.81,65.75,12.06
