season_gu,game_type,ym,game_no,game_key,team,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts_for,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,opponent,pts_against,margin,win,pts
001,1,199807,1,1-1-199807-1,삼성생명,200.0,34,61,4,9,16,24,21,24,45,13,15,3,15,1,96,38,70,54.3,55.7,44.4,66.7,57.1,59.6,103,현대,72,24,True,96
001,1,199807,1,1-1-199807-1,현대,200.0,25,52,4,15,10,14,12,19,31,17,25,11,13,1,72,29,67,43.3,48.1,26.7,71.4,46.3,49.2,77,삼성생명,96,-24,False,72
001,1,199807,2,1-1-199807-2,KB스타즈,200.0,22,54,11,27,6,10,15,18,33,8,20,5,15,6,83,33,81,40.7,40.7,40.7,60.0,47.5,48.6,68,신세계,101,-18,False,83
001,1,199807,2,1-1-199807-2,신세계,200.0,36,55,5,12,14,15,4,30,34,19,13,7,12,5,101,41,67,61.2,65.5,41.7,93.3,64.9,68.6,127,KB스타즈,83,18,True,101
001,1,199807,3,1-1-199807-3,우리은행,200.0,18,39,5,19,20,22,8,24,32,6,17,6,13,3,71,23,58,39.7,46.2,26.3,90.9,44.0,52.5,68,현대,68,3,True,71
001,1,199807,3,1-1-199807-3,현대,200.0,12,33,11,31,11,12,14,28,42,11,21,10,18,4,68,23,64,35.9,36.4,35.5,91.7,44.5,49.1,75,우리은행,71,-3,False,68
001,1,199808,4,1-1-199808-4,삼성생명,200.0,29,48,3,20,14,18,13,20,33,8,13,10,11,10,81,32,68,47.1,60.4,15.0,77.8,49.3,53.3,91,신세계,72,9,True,81
001,1,199808,4,1-1-199808-4,신세계,200.0,30,60,2,6,6,8,7,22,29,8,23,6,15,2,72,32,66,48.5,50.0,33.3,75.0,50.0,51.8,66,삼성생명,81,-9,False,72
001,1,199808,5,1-1-199808-5,KB스타즈,225.0,30,55,5,17,12,17,8,26,34,11,23,6,7,3,87,35,72,48.6,54.5,29.4,70.6,52.1,54.7,92,우리은행,93,-6,False,87
001,1,199808,5,1-1-199808-5,우리은행,225.0,33,58,2,18,21,29,16,29,45,20,16,7,12,7,93,35,76,46.1,56.9,11.1,72.4,47.4,52.4,111,KB스타즈,87,6,True,93
001,1,199808,6,1-1-199808-6,신세계,200.0,30,51,4,9,13,18,6,14,20,6,17,6,16,1,85,34,60,56.7,58.8,44.4,72.2,60.0,62.6,71,현대,90,-5,False,85
001,1,199808,6,1-1-199808-6,현대,200.0,27,45,9,22,9,13,10,15,25,10,23,12,11,0,90,36,67,53.7,60.0,40.9,69.2,60.4,61.9,91,신세계,85,5,True,90
001,1,199808,7,1-1-199808-7,KB스타즈,200.0,23,49,7,14,18,20,7,16,23,5,14,7,5,4,85,30,63,47.6,46.9,50.0,90.0,53.2,59.2,84,현대,79,6,True,85
001,1,199808,7,1-1-199808-7,현대,200.0,25,41,6,22,11,17,11,19,30,8,19,3,12,0,79,31,63,49.2,61.0,27.3,64.7,54.0,56.0,70,KB스타즈,85,-6,False,79
001,1,199808,8,1-1-199808-8,삼성생명,194.63333333333333,28,49,5,20,5,5,5,27,32,9,12,12,14,9,76,33,69,47.8,57.1,25.0,100.0,51.4,53.4,88,우리은행,62,14,True,76
001,1,199808,8,1-1-199808-8,우리은행,200.0,24,53,3,13,5,6,2,18,20,5,11,5,16,4,62,27,66,40.9,45.3,23.1,83.3,43.2,45.2,40,삼성생명,76,-14,False,62
001,1,199808,9,1-1-199808-9,신세계,200.0,25,50,2,8,16,18,11,20,31,5,17,8,16,5,72,27,58,46.6,50.0,25.0,88.9,48.3,54.6,72,우리은행,70,2,True,72
001,1,199808,9,1-1-199808-9,우리은행,200.0,19,45,8,15,8,13,4,18,22,8,16,7,14,5,70,27,60,45.0,42.2,53.3,61.5,51.7,53.3,60,신세계,72,-2,False,70
001,1,199808,10,1-1-199808-10,KB스타즈,200.0,31,56,4,20,12,14,9,21,30,8,15,3,4,3,86,35,76,46.1,55.4,20.0,85.7,48.7,52.3,83,삼성생명,87,-1,False,86
001,1,199808,10,1-1-199808-10,삼성생명,200.0,29,62,5,14,14,21,16,28,44,7,15,4,10,1,87,34,76,44.7,46.8,35.7,66.7,48.0,51.0,84,KB스타즈,86,1,True,87
001,1,199808,11,1-1-199808-11,삼성생명,191.61666666666667,18,44,9,17,13,14,7,26,33,4,20,5,14,10,76,27,61,44.3,40.9,52.9,92.9,51.6,56.6,79,우리은행,65,11,True,76
001,1,199808,11,1-1-199808-11,우리은행,200.0,18,46,4,15,17,24,9,22,31,5,18,12,13,2,65,22,61,36.1,39.1,26.7,70.8,39.3,45.4,56,삼성생명,76,-11,False,65
001,1,199808,12,1-1-199808-12,신세계,200.0,26,54,2,13,11,16,11,30,41,8,18,6,5,1,69,28,67,41.8,48.1,15.4,68.8,43.3,46.6,76,현대,68,1,True,69
001,1,199808,12,1-1-199808-12,현대,200.0,16,37,8,20,12,17,2,20,22,2,25,3,6,0,68,24,57,42.1,43.2,40.0,70.6,49.1,52.7,51,신세계,69,-1,False,68
001,1,199808,13,1-1-199808-13,KB스타즈,200.0,25,59,3,9,8,10,9,20,29,3,17,8,15,2,67,28,68,41.2,42.4,33.3,80.0,43.4,46.3,52,신세계,84,-17,False,67
001,1,199808,13,1-1-199808-13,신세계,200.0,31,68,3,12,13,16,26,25,51,8,15,11,10,0,84,34,80,42.5,45.6,25.0,81.2,44.4,48.3,95,KB스타즈,67,17,True,84
001,1,199808,14,1-1-199808-14,삼성생명,200.0,17,40,6,22,11,16,15,28,43,4,16,2,12,2,63,23,62,37.1,42.5,27.3,68.8,41.9,45.6,58,현대,69,-6,False,63
001,1,199808,14,1-1-199808-14,현대,200.0,24,50,3,14,12,15,9,20,29,6,19,9,10,2,69,27,64,42.2,48.0,21.4,80.0,44.5,48.9,65,삼성생명,63,6,True,69
001,1,199808,15,1-1-199808-15,우리은행,200.0,22,39,2,12,14,17,9,28,37,7,17,5,16,5,64,24,51,47.1,56.4,16.7,82.4,49.0,54.7,72,현대,58,6,True,64
001,1,199808,15,1-1-199808-15,현대,200.0,19,38,4,20,8,12,10,11,21,8,19,10,10,1,58,23,58,39.7,50.0,20.0,66.7,43.1,45.8,49,우리은행,64,-6,False,58
001,1,199808,16,1-1-199808-16,KB스타즈,200.0,38,68,3,17,7,13,18,24,42,21,12,7,9,6,92,41,85,48.2,55.9,17.6,53.8,50.0,50.7,109,삼성생명,95,-3,False,92
001,1,199808,16,1-1-199808-16,삼성생명,197.76666666666668,33,55,7,14,8,10,10,23,33,13,18,7,14,4,95,40,69,58.0,60.0,50.0,80.0,63.0,64.7,107,KB스타즈,92,3,True,95
001,1,199808,17,1-1-199808-17,삼성생명,250.0,22,58,9,22,10,16,13,30,43,13,15,14,14,6,81,31,80,38.8,37.9,40.9,62.5,44.4,46.5,88,신세계,77,4,True,81
001,1,199808,17,1-1-199808-17,신세계,250.0,28,61,6,16,3,5,17,35,52,15,22,9,26,3,77,34,77,44.2,45.9,37.5,60.0,48.1,48.6,85,삼성생명,81,-4,False,77
001,1,199808,18,1-1-199808-18,KB스타즈,200.0,22,44,5,16,9,12,13,22,35,10,23,4,12,6,68,27,60,45.0,50.0,31.2,75.0,49.2,52.1,75,우리은행,72,-4,False,68
001,1,199808,18,1-1-199808-18,우리은행,200.0,19,43,6,15,16,24,15,23,38,10,21,6,11,3,72,25,58,43.1,44.2,40.0,66.7,48.3,52.5,77,KB스타즈,68,4,True,72
001,1,199808,19,1-1-199808-19,KB스타즈,225.0,26,54,8,18,9,9,13,24,37,11,14,8,15,6,85,34,72,47.2,48.1,44.4,100.0,52.8,56.0,94,현대,90,-5,False,85
001,1,199808,19,1-1-199808-19,현대,225.0,28,57,9,22,7,13,14,23,37,12,15,10,13,3,90,37,79,46.8,49.1,40.9,53.8,52.5,53.1,91,KB스타즈,85,5,True,90
001,1,199808,20,1-1-199808-20,신세계,200.0,17,38,3,11,25,27,8,19,27,7,26,9,17,4,68,20,49,40.8,44.7,27.3,92.6,43.9,55.8,67,우리은행,63,5,True,68
001,1,199808,20,1-1-199808-20,우리은행,200.0,18,33,4,19,15,20,10,17,27,8,24,5,19,5,63,22,52,42.3,54.5,21.1,75.0,46.2,51.8,54,신세계,68,-5,False,63
002,1,199902,1,2-1-199902-1,삼성생명,200.0,21,38,9,19,7,8,9,24,33,18,17,5,26,3,76,30,57,52.6,55.3,47.4,87.5,60.5,62.8,81,신세계,79,-3,False,76
002,1,199902,1,2-1-199902-1,신세계,200.0,29,52,4,13,9,13,6,16,22,11,16,18,17,2,79,33,65,50.8,55.8,30.8,69.2,53.8,55.9,79,삼성생명,76,3,True,79
002,1,199902,2,2-1-199902-2,우리은행,200.0,26,52,4,17,11,17,14,32,46,7,13,7,21,6,75,30,69,43.5,50.0,23.5,64.7,46.4,49.0,75,현대,74,1,True,75
002,1,199902,2,2-1-199902-2,현대,200.0,17,39,11,33,7,10,12,22,34,12,18,9,18,5,74,28,72,38.9,43.6,33.3,70.0,46.5,48.4,69,우리은행,75,-1,False,74
002,1,199902,3,2-1-199902-3,삼성생명,200.0,23,34,7,23,22,25,12,24,36,13,20,15,13,1,89,30,57,52.6,67.6,30.4,88.0,58.8,65.4,111,우리은행,79,10,True,89
