season_gu,team,gp,min_total,fg2_m,fg2_a,fg3_m,fg3_a,ft_m,ft_a,reb_off,reb_def,reb,ast,pf,stl,to,blk,pts,fg_m,fg_a,fg_pct,fg2_pct,fg3_pct,ft_pct,efg_pct,ts_pct,eff,min_per_game,pts_against,margin_total,margin_per_game,pts_against_per_game,margin,scope
037,KB스타즈,35,7100.0,603.0,1339.0,193.0,707.0,401.0,568.0,365.0,863.0,1228.0,441.0,637.0,247.0,536.0,139.0,2186.0,796.0,2046.0,38.9,45.0,27.3,70.6,43.6,47.6,2288.0,202.9,2262.0,-76,-2.17,64.63,-76.0,totals
037,KDB생명,35,7150.0,604.0,1410.0,223.0,815.0,392.0,504.0,428.0,782.0,1210.0,465.0,692.0,293.0,449.0,90.0,2269.0,827.0,2225.0,37.2,42.8,27.4,77.8,42.2,46.4,2368.0,204.3,2384.0,-115,-3.29,68.11,-115.0,totals
037,KEB하나,35,7025.0,662.0,1543.0,199.0,666.0,340.0,466.0,398.0,788.0,1186.0,496.0,679.0,288.0,489.0,74.0,2261.0,861.0,2209.0,39.0,42.9,29.9,73.0,43.5,46.8,2342.0,200.7,2385.0,-124,-3.54,68.14,-124.0,totals
037,블루스타,1,200.0,35.0,58.0,10.0,36.0,2.0,4.0,10.0,37.0,47.0,28.0,7.0,7.0,12.0,5.0,102.0,45.0,94.0,47.9,60.3,27.8,50.0,53.2,53.3,126.0,200.0,100.0,2,2.0,100.0,2.0,totals
037,삼성생명,35,7050.0,732.0,1639.0,172.0,567.0,387.0,560.0,372.0,849.0,1221.0,490.0,655.0,317.0,498.0,108.0,2367.0,904.0,2206.0,41.0,44.7,30.3,69.1,44.9,48.3,2530.0,201.4,2384.0,-17,-0.49,68.11,-17.0,totals
037,신한은행,35,7000.0,628.0,1477.0,176.0,637.0,307.0,450.0,372.0,871.0,1243.0,474.0,663.0,243.0,490.0,153.0,2091.0,804.0,2114.0,38.0,42.5,27.6,68.2,42.2,45.2,2261.0,200.0,2253.0,-162,-4.63,64.37,-162.0,totals
037,우리은행,35,7075.0,734.0,1637.0,244.0,729.0,359.0,470.0,499.0,956.0,1455.0,542.0,658.0,245.0,383.0,170.0,2559.0,978.0,2366.0,41.3,44.8,33.5,76.4,46.5,49.7,3089.0,202.1,2065.0,494,14.11,59.0,494.0,totals
037,핑크스타,1,200.0,25.0,43.0,15.0,56.0,5.0,6.0,16.0,35.0,51.0,22.0,5.0,5.0,9.0,2.0,100.0,40.0,99.0,40.4,58.1,26.8,83.3,48.0,49.2,111.0,200.0,102.0,-2,-2.0,102.0,-2.0,totals
038,KB스타즈,35,7075.0,713.0,1482.0,239.0,730.0,425.0,566.0,428.0,931.0,1359.0,566.0,610.0,240.0,477.0,136.0,2568.0,952.0,2212.0,43.0,48.1,32.7,75.1,48.4,52.2,2991.0,202.1,2329.0,239,6.83,66.54,239.0,totals
038,KDB생명,35,7000.0,565.0,1438.0,192.0,693.0,404.0,550.0,367.0,775.0,1142.0,449.0,604.0,248.0,467.0,118.0,2110.0,757.0,2131.0,35.5,39.3,27.7,73.5,40.0,44.5,2080.0,200.0,2577.0,-467,-13.34,73.63,-467.0,totals
038,KEB하나,35,7050.0,704.0,1531.0,237.0,702.0,369.0,508.0,366.0,875.0,1241.0,544.0,696.0,255.0,471.0,96.0,2488.0,941.0,2233.0,42.1,46.0,33.8,72.6,47.4,50.6,2722.0,201.4,2560.0,-72,-2.06,73.14,-72.0,totals
