Fetching crowd (attendance) data...

=== Fetched 18 crowd (attendance) seasons ===

season,samsung_life,shinhan_bank,woori_bank,hana_bank,bnk_sum,kb_stars,neutral,total
2024-2025,"12,323","16,016","20,428","16,196","22,877","32,895","-","120,735"
2023-2024,"11,279","12,395","18,422","22,196","10,152","36,118","-","110,562"
2022-2023,"9,902","14,980","14,851","10,484","24,092","21,006","-","95,315"
2021-2022,"3,579","5,503","7,431","2,285","9,438","15,396","-","43,632"
2020-2021,"585","143","284","478","265","2,282","-","4,037"
2019-2020,"10,164","12,723","14,144","9,156","19,833","22,612","-","88,632"
2018-2019,"19,550","11,725","25,125","13,383","12,627","37,534","-","119,944"
2017-2018,"18,484","22,769","27,947","10,809","10,527","30,598","-","121,134"
2016-2017,"20,005","21,626","23,701","16,142","14,008","27,578","-","123,060"
2015-2016,"23,043","26,467","18,706","33,673","16,804","36,914","-","155,607"
2014-2015,"24,078","30,951","21,065","30,204","18,728","39,234","-","164,260"
2013-2014,"25,211","23,081","22,689","24,513","20,335","39,372","-","155,201"
2012-2013,"27,873","14,955","23,815","26,059","17,435","29,616","-","139,753"
2011-2012,"25,033","22,877","15,061","20,963","23,732","43,086","-","150,752"
2010-2011,"22,429","17,063","8,739","26,098","17,259","17,802","6,837","116,227"
2009-2010,"18,366","13,651","7,011","21,337","15,246","11,240","4,733","91,584"
2008-2009,"19,962","12,274","10,176","27,426","15,127","11,661","10,212","106,838"
2007-2008,"15,221","15,014","14,620","17,786","13,850","16,261","5,412","98,164"
