05.01.26 06:41:12.211                       Running on 0.0.0.0:8000 (http://localhost:8000)
05.01.26 06:41:12.212                       Type Ctrl+C to stop
05.01.26 06:48:32.562       dream.log  INFO REQ 1 GET / 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.567       dream.log  INFO REQ 1 200 in 5102 μs
05.01.26 06:48:32.570       dream.log  INFO REQ 2 GET /static/css/styles.css 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.571       dream.log  INFO REQ 2 200 in 462 μs
05.01.26 06:48:32.571       dream.log  INFO REQ 3 GET /%22/static/images/player_095533.png/%22 127.0.0.1:65183 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.571       dream.log  WARN REQ 3 404 in 23 μs
05.01.26 06:48:32.571       dream.log  INFO REQ 4 GET /static/images/team_01.png 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.571       dream.log  INFO REQ 4 200 in 341 μs
05.01.26 06:48:32.572       dream.log  INFO REQ 5 GET /%22/static/images/player_095104.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.572       dream.log  WARN REQ 5 404 in 26 μs
05.01.26 06:48:32.573       dream.log  INFO REQ 6 GET /static/images/team_05.png 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.573       dream.log  INFO REQ 7 GET /%22/static/images/player_095639.png/%22 127.0.0.1:65181 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.573       dream.log  WARN REQ 7 404 in 17 μs
05.01.26 06:48:32.573       dream.log  INFO REQ 6 200 in 363 μs
05.01.26 06:48:32.574       dream.log  INFO REQ 8 GET /%22/static/images/player_095248.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.574       dream.log  WARN REQ 8 404 in 35 μs
05.01.26 06:48:32.574       dream.log  INFO REQ 9 GET /static/images/team_11.png 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.574       dream.log  INFO REQ 9 200 in 185 μs
05.01.26 06:48:32.575       dream.log  INFO REQ 10 GET /%22/static/images/player_095499.png/%22 127.0.0.1:65185 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
05.01.26 06:48:32.575       dream.log  WARN REQ 10 404 in 17 μs
