Fetching salary data...

=== Fetched 154 salary entries ===

season,rank,player_name,team_name,base_salary,bonus,total,note
2025-2026,1,김단비,우리은행,"300,000,000","150,000,000","450,000,000",
2025-2026,2,김소니아,BNK 썸,"300,000,000","100,000,000","400,000,000",
2025-2026,2,박지수,KB스타즈,"300,000,000","100,000,000","400,000,000",
2025-2026,4,강이슬,KB스타즈,"300,000,000","50,000,000","350,000,000",
2025-2026,4,진　안,하나은행,"300,000,000","50,000,000","350,000,000",
2025-2026,4,최이샘,신한은행,"300,000,000","50,000,000","350,000,000",
2025-2026,7,배혜윤,삼성생명,"290,000,000","30,000,000","320,000,000",
2025-2026,7,박혜진,BNK 썸,"270,000,000","50,000,000","320,000,000",
2025-2026,9,안혜지,BNK 썸,"280,000,000","30,000,000","310,000,000",
2025-2026,10,신지현,신한은행,"250,000,000","40,000,000","290,000,000",
2025-2026,11,이소희,하나원큐,"200,000,000","60,000,000","260,000,000",
2025-2026,12,양인영,하나은행,"250,000,000","-","250,000,000",
2025-2026,13,키아나 스미스,삼성생명,"190,000,000","20,000,000","210,000,000",
2025-2026,14,강유림,삼성생명,"185,000,000","20,000,000","205,000,000",
2025-2026,15,김정은,하나은행,"200,000,000","-","200,000,000",
2025-2026,15,정예림,하나은행,"180,000,000","20,000,000","200,000,000",
2025-2026,15,한엄지,우리은행,"180,000,000","20,000,000","200,000,000",
2025-2026,18,허예은,KB스타즈,"160,000,000","20,000,000","180,000,000",
2025-2026,19,김아름,삼성생명,"140,000,000","10,000,000","150,000,000",
2025-2026,19,이해란,삼성생명,"130,000,000","20,000,000","150,000,000",
2025-2026,19,김진영,신한은행,"125,000,000","25,000,000","150,000,000",
2025-2026,22,이주연,삼성생명,"120,000,000","20,000,000","140,000,000",
2025-2026,22,김지영,신한은행,"115,000,000","25,000,000","140,000,000",
2025-2026,22,신이슬,신한은행,"110,000,000","30,000,000","140,000,000",
2025-2026,25,이명관,우리은행,"130,000,000","-","130,000,000",
2025-2026,26,김시온,하나은행,"125,000,000","-","125,000,000",
2025-2026,27,유승희,우리은행,"120,000,000","-","120,000,000",
2025-2026,27,나윤정,KB스타즈,"100,000,000","20,000,000","120,000,000",
2025-2026,27,심성영,우리은행,"100,000,000","20,000,000","120,000,000",
2025-2026,27,염윤아,KB스타즈,"100,000,000","20,000,000","120,000,000",
2025-2026,31,김예진,우리은행,"110,000,000","-","110,000,000",
2025-2026,32,박혜미,우리은행,"100,000,000","-","100,000,000",
2025-2026,32,홍유순,신한은행,"70,000,000","30,000,000","100,000,000",
2024-2025,1,김단비,우리은행,"300,000,000","150,000,000","450,000,000",
2024-2025,2,신지현,신한은행,"300,000,000","120,000,000","420,000,000",
2024-2025,3,김소니아,BNK 썸,"300,000,000","100,000,000","400,000,000",FA 계약
2024-2025,4,진　안,하나원큐,"300,000,000","60,000,000","360,000,000",FA 계약
2024-2025,5,최이샘,신한은행,"300,000,000","50,000,000","350,000,000",FA 계약
2024-2025,6,박혜진,BNK 썸,"270,000,000","50,000,000","320,000,000",FA 계약
2024-2025,7,배혜윤,삼성생명,"280,000,000","30,000,000","310,000,000",
2024-2025,7,안혜지,BNK 썸,"280,000,000","30,000,000","310,000,000",FA 계약
2024-2025,9,양인영,하나원큐,"280,000,000","20,000,000","300,000,000",FA 계약
2024-2025,10,강이슬,KB스타즈,"260,000,000","30,000,000","290,000,000",
2024-2025,11,김정은,하나원큐,"260,000,000","20,000,000","280,000,000",
2024-2025,12,이소희,BNK 썸,"200,000,000","60,000,000","260,000,000",
2024-2025,13,키아나 스미스,삼성생명,"190,000,000","20,000,000","210,000,000",
2024-2025,14,이주연,삼성생명,"150,000,000","20,000,000","170,000,000",
2024-2025,15,허예은,KB스타즈,"160,000,000","-","160,000,000",
2024-2025,15,김진영,신한은행,"120,000,000","40,000,000","160,000,000",
2024-2025,15,한엄지,우리은행,"100,000,000","60,000,000","160,000,000",
2024-2025,18,신이슬,신한은행,"120,000,000","30,000,000","150,000,000",FA 계약
2024-2025,18,김민정,KB스타즈,"120,000,000","30,000,000","150,000,000",
2024-2025,18,구　슬,신한은행,"110,000,000","40,000,000","150,000,000",
2024-2025,21,김시온,하나원큐,"110,000,000","30,000,000","140,000,000",FA 계약
2024-2025,22,김아름,삼성생명,"120,000,000","10,000,000","130,000,000",
2024-2025,22,나윤정,KB스타즈,"90,000,000","40,000,000","130,000,000",FA 계약
2024-2025,24,염윤아,KB스타즈,"120,000,000","-","120,000,000",FA 계약
2024-2025,24,유승희,우리은행,"120,000,000","-","120,000,000",
2024-2025,24,정예림,하나원큐,"120,000,000","-","120,000,000",
2024-2025,24,김단비,삼성생명,"110,000,000","10,000,000","120,000,000",
2024-2025,24,심성영,우리은행,"100,000,000","20,000,000","120,000,000",FA 계약
2024-2025,29,이명관,우리은행,"110,000,000","-","110,000,000",
2024-2025,29,강유림,삼성생명,"100,000,000","10,000,000","110,000,000",
2024-2025,29,이다연,우리은행,"100,000,000","10,000,000","110,000,000",
2024-2025,32,김예진,우리은행,"100,000,000","-","100,000,000",
2024-2025,32,이해란,삼성생명,"90,000,000","10,000,000","100,000,000",
2024-2025,32,윤예빈,삼성생명,"70,000,000","30,000,000","100,000,000",
2023-2024,1,김단비,우리은행,"300,000,000","150,000,000","450,000,000",
2023-2024,2,신지현,하나원큐,"300,000,000","120,000,000","420,000,000",
2023-2024,3,박지수,KB스타즈,"300,000,000","100,000,000","400,000,000",
2023-2024,4,강이슬,KB스타즈,"280,000,000","70,000,000","350,000,000",FA 계약
2023-2024,5,배혜윤,삼성생명,"300,000,000","40,000,000","340,000,000",
2023-2024,6,김한별,BNK 썸,"300,000,000","-","300,000,000",FA 계약
2023-2024,6,김소니아,신한은행,"300,000,000","-","300,000,000",
2023-2024,8,이소희,BNK 썸,"200,000,000","60,000,000","260,000,000",
2023-2024,9,박혜진,우리은행,"200,000,000","50,000,000","250,000,000",
2023-2024,9,김정은,하나원큐,"200,000,000","50,000,000","250,000,000",FA 계약
2023-2024,12,김진영,신한은행,"200,000,000","40,000,000","240,000,000",FA 계약
2023-2024,13,안혜지,BNK 썸,"80,000,000","150,000,000","230,000,000",
2023-2024,14,김민정,KB스타즈,"180,000,000","30,000,000","210,000,000",
2023-2024,15,유승희,우리은행,"160,000,000","40,000,000","200,000,000",
2023-2024,16,박지현,우리은행,"170,000,000","10,000,000","180,000,000",
2023-2024,16,최이샘,우리은행,"150,000,000","30,000,000","180,000,000",
2023-2024,18,윤예빈,삼성생명,"160,000,000","10,000,000","170,000,000",
2023-2024,19,양인영,하나원큐,"160,000,000","-","160,000,000",
2023-2024,19,이주연,삼성생명,"150,000,000","10,000,000","160,000,000",
2023-2024,19,한엄지,BNK 썸,"140,000,000","20,000,000","160,000,000",
2023-2024,22,이경은,신한은행,"140,000,000","-","140,000,000",FA 계약
2023-2024,23,키아나 스미스,삼성생명,"120,000,000","10,000,000","130,000,000",
2023-2024,23,김단비,삼성생명,"110,000,000","20,000,000","130,000,000",
2023-2024,23,구슬,신한은행,"110,000,000","20,000,000","130,000,000",
2023-2024,26,김아름,신한은행,"110,000,000","10,000,000","120,000,000",
2023-2024,27,강유림,삼성생명,"100,000,000","15,000,000","115,000,000",
2023-2024,28,김지영,신한은행,"110,000,000","-","110,000,000",
2023-2024,28,정예림,하나원큐,"100,000,000","10,000,000","110,000,000",
2023-2024,30,염윤아,KB스타즈,"100,000,000","-","100,000,000",
2023-2024,30,김시온,BNK 썸,"80,000,000","20,000,000","100,000,000",
2023-2024,30,심성영,KB스타즈,"80,000,000","20,000,000","100,000,000",FA 계약
2023-2024,30,허예은,KB스타즈,"80,000,000","20,000,000","100,000,000",
2022-2023,1,김단비,우리은행,"300,000,000","150,000,000","450,000,000",FA 계약
2022-2023,2,신지현,하나원큐,"300,000,000","120,000,000","420,000,000",FA 계약
2022-2023,3,박지수,KB스타즈,"300,000,000","100,000,000","400,000,000",
2022-2023,4,강이슬,KB스타즈,"300,000,000","90,000,000","390,000,000",
2022-2023,5,박혜진,우리은행,"240,000,000","100,000,000","340,000,000",
2022-2023,6,배혜윤,삼성생명,"300,000,000","20,000,000","320,000,000",
2022-2023,7,김소니아,BNK 썸,"300,000,000","-","300,000,000",
2022-2023,7,김한별,BNK 썸,"300,000,000","-","300,000,000",
2022-2023,9,진안,BNK 썸,"270,000,000","10,000,000","280,000,000",
2022-2023,10,최이샘,우리은행,"210,000,000","30,000,000","240,000,000",FA 계약
2022-2023,11,윤예빈,삼성생명,"200,000,000","20,000,000","220,000,000",
2022-2023,12,이주연,삼성생명,"190,000,000","20,000,000","210,000,000",FA 계약
2022-2023,13,박지현,우리은행,"180,000,000","-","180,000,000",
2022-2023,13,한채진,신한은행,"150,000,000","30,000,000","180,000,000",FA 계약
2022-2023,13,한엄지,BNK 썸,"180,000,000","-","180,000,000",
2022-2023,16,양인영,하나원큐,"170,000,000","-","170,000,000",
2022-2023,16,안혜지,BNK 썸,"80,000,000","90,000,000","170,000,000",
2022-2023,16,이소희,BNK 썸,"160,000,000","10,000,000","170,000,000",
2022-2023,19,김아름,신한은행,"150,000,000","10,000,000","160,000,000",
2022-2023,20,구슬,신한은행,"120,000,000","40,000,000","160,000,000",FA 계약
2022-2023,21,김정은,우리은행,"150,000,000","-","150,000,000",
2022-2023,21,유승희,신한은행,"150,000,000","-","150,000,000",
2022-2023,21,김민정,KB스타즈,"150,000,000","-","150,000,000",
2022-2023,24,김진영,신한은행,"120,000,000","20,000,000","140,000,000",
2022-2023,25,강계리,신한은행,"90,000,000","20,000,000","140,000,000",
2022-2023,25,김단비,삼성생명,"100,000,000","10,000,000","110,000,000",
2022-2023,27,심성영,KB스타즈,"100,000,000","-","100,000,000",
2021-2022,1,박혜진,우리은행,"250,000,000","180,000,000","430,000,000",300,000,000
2021-2022,2,박지수,KB스타즈,"300,000,000","100,000,000","400,000,000",300,000,000
2021-2022,2,배혜윤,삼성생명,"300,000,000","100,000,000","400,000,000",220,000,000
2021-2022,4,강이슬,KB스타즈,"300,000,000","90,000,000","390,000,000",210,000,000
2021-2022,5,김단비,신한은행,"300,000,000","35,000,000","335,000,000",270,000,000
2021-2022,6,강아정,BNK 썸,"230,000,000","100,000,000","330,000,000",170,000,000
2021-2022,7,김한별,BNK 썸,"240,000,000","60,000,000","300,000,000",210,000,000
2021-2022,7,진안,BNK 썸,"300,000,000","-","300,000,000",100,000,000
2021-2022,7,김소니아,우리은행,"300,000,000","-","300,000,000",130,000,000
2021-2022,10,김정은,우리은행,"210,000,000","50,000,000","260,000,000",300,000,000
2021-2022,11,윤예빈,삼성생명,"230,000,000","10,000,000","240,000,000",95,000,000
2021-2022,12,신지현,하나원큐,"200,000,000","20,000,000","220,000,000",120,000,000
