03.01.26 20:12:57.496                       Running at http://localhost:8000
03.01.26 20:12:57.496                       Type Ctrl+C to stop
03.01.26 20:12:59.666       dream.log  INFO REQ 1 HEAD / ::1:56109 curl/8.7.1
03.01.26 20:12:59.666       dream.log  INFO REQ 1 200 in 75 μs
03.01.26 20:13:45.824       dream.log  INFO REQ 2 GET /player/095533 ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:45.826       dream.log  INFO REQ 2 200 in 1669 μs
03.01.26 20:13:45.832       dream.log  INFO REQ 3 GET /static/css/styles.css ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:45.833       dream.log  INFO REQ 4 GET /static/images/player_095533.png ::1:56874 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:45.833       dream.log  WARN REQ 4 404 in 86 μs
03.01.26 20:13:45.833       dream.log  INFO REQ 3 200 in 368 μs
03.01.26 20:13:46.570       dream.log  INFO REQ 5 GET /player/095533 ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:46.571       dream.log  INFO REQ 5 200 in 790 μs
03.01.26 20:13:46.577       dream.log  INFO REQ 6 GET /static/css/styles.css ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:46.577       dream.log  INFO REQ 7 GET /static/images/player_095533.png ::1:56874 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:46.578       dream.log  WARN REQ 7 404 in 99 μs
03.01.26 20:13:46.578       dream.log  INFO REQ 6 200 in 479 μs
03.01.26 20:13:47.922       dream.log  INFO REQ 8 GET /player/095533/season-stats?scope=totals ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:47.923       dream.log  INFO REQ 8 200 in 310 μs
03.01.26 20:13:48.647       dream.log  INFO REQ 9 GET /player/095533/season-stats?scope=per_36 ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:48.647       dream.log  INFO REQ 9 200 in 371 μs
03.01.26 20:13:49.180       dream.log  INFO REQ 10 GET /player/095533/season-stats?scope=totals ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:49.180       dream.log  INFO REQ 10 200 in 211 μs
03.01.26 20:13:49.655       dream.log  INFO REQ 11 GET /player/095533/season-stats?scope=per_game ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:49.656       dream.log  INFO REQ 11 200 in 206 μs
03.01.26 20:13:50.147       dream.log  INFO REQ 12 GET /player/095533/season-stats?scope=totals ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:50.147       dream.log  INFO REQ 12 200 in 363 μs
03.01.26 20:13:50.597       dream.log  INFO REQ 13 GET /player/095533/season-stats?scope=per_36 ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:50.597       dream.log  INFO REQ 13 200 in 205 μs
03.01.26 20:13:51.180       dream.log  INFO REQ 14 GET /player/095533/season-stats?scope=totals ::1:56873 Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36
03.01.26 20:13:51.180       dream.log  INFO REQ 14 200 in 211 μs
